,number,value,datetime_start,datetime_complete,duration,params_ADI_VRSK_beta_win,params_ADI_VRSK_trade_freq,params_ADI_VRSK_z_entry,params_ADI_VRSK_z_exit,params_ADI_VRSK_z_win,params_ADP_EXPE_beta_win,params_ADP_EXPE_trade_freq,params_ADP_EXPE_z_entry,params_ADP_EXPE_z_exit,params_ADP_EXPE_z_win,params_AMAT_HOLX_beta_win,params_AMAT_HOLX_trade_freq,params_AMAT_HOLX_z_entry,params_AMAT_HOLX_z_exit,params_AMAT_HOLX_z_win,params_AMZN_IDXX_beta_win,params_AMZN_IDXX_trade_freq,params_AMZN_IDXX_z_entry,params_AMZN_IDXX_z_exit,params_AMZN_IDXX_z_win,params_ATVI_EA_beta_win,params_ATVI_EA_trade_freq,params_ATVI_EA_z_entry,params_ATVI_EA_z_exit,params_ATVI_EA_z_win,params_BIIB_MXIM_beta_win,params_BIIB_MXIM_trade_freq,params_BIIB_MXIM_z_entry,params_BIIB_MXIM_z_exit,params_BIIB_MXIM_z_win,params_CELG_HOLX_beta_win,params_CELG_HOLX_trade_freq,params_CELG_HOLX_z_entry,params_CELG_HOLX_z_exit,params_CELG_HOLX_z_win,params_HOLX_MELI_beta_win,params_HOLX_MELI_trade_freq,params_HOLX_MELI_z_entry,params_HOLX_MELI_z_exit,params_HOLX_MELI_z_win,params_NFLX_BMRN_beta_win,params_NFLX_BMRN_trade_freq,params_NFLX_BMRN_z_entry,params_NFLX_BMRN_z_exit,params_NFLX_BMRN_z_win,params_PAYX_EXPE_beta_win,params_PAYX_EXPE_trade_freq,params_PAYX_EXPE_z_entry,params_PAYX_EXPE_z_exit,params_PAYX_EXPE_z_win,params_TSLA_ATVI_beta_win,params_TSLA_ATVI_trade_freq,params_TSLA_ATVI_z_entry,params_TSLA_ATVI_z_exit,params_TSLA_ATVI_z_win,params_TSLA_EA_beta_win,params_TSLA_EA_trade_freq,params_TSLA_EA_z_entry,params_TSLA_EA_z_exit,params_TSLA_EA_z_win,params_TSLA_TTWO_beta_win,params_TSLA_TTWO_trade_freq,params_TSLA_TTWO_z_entry,params_TSLA_TTWO_z_exit,params_TSLA_TTWO_z_win,params_VOD_HOLX_beta_win,params_VOD_HOLX_trade_freq,params_VOD_HOLX_z_entry,params_VOD_HOLX_z_exit,params_VOD_HOLX_z_win,params_WDC_HSIC_beta_win,params_WDC_HSIC_trade_freq,params_WDC_HSIC_z_entry,params_WDC_HSIC_z_exit,params_WDC_HSIC_z_win,params_pairs_to_trade,state
0,0,2.483983014861236,2025-05-29 23:24:49.746800,2025-05-29 23:24:57.698082,0 days 00:00:07.951282,,,,,,250.0,35m,0.8,-2.5,20.0,,,,,,,,,,,990.0,24m,2.6,-1.9,690.0,,,,,,,,,,,360.0,22m,2.2,-0.7999999999999998,240.0,400,22m,0.2,-1.0999999999999996,640,550,21m,1.8,-1.1999999999999997,780,,,,,,,,,,,,,,,,470,36m,1.8,-0.5,510,,,,,,2,COMPLETE
1,1,0.8860171134128718,2025-05-29 23:24:57.703086,2025-05-29 23:24:58.180785,0 days 00:00:00.477699,,,,,,480.0,39m,2.8000000000000003,-2.9,540.0,,,,,,,,,,,380.0,17m,2.2,-0.5,90.0,,,,,,,,,,,220.0,6m,0.6000000000000001,-2.8,920.0,790,13m,1.5,-1.1999999999999997,720,770,16m,1.3,-3.1,250,,,,,,,,,,,,,,,,680,42m,0.7000000000000001,-3.4,390,,,,,,2,COMPLETE
2,2,,2025-05-29 23:24:58.186965,2025-05-29 23:24:58.482430,0 days 00:00:00.295465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,19m,2.6,-1.9,530,620,59m,0.6000000000000001,-1.7999999999999998,430,,,,,,,,,,,,,,,,830,49m,3.3000000000000003,-1.5,300,,,,,,1,FAIL
3,3,-0.4524104975944522,2025-05-29 23:24:58.488440,2025-05-29 23:24:59.175052,0 days 00:00:00.686612,,,,,,140.0,12m,1.0,-2.8,740.0,,,,,,400.0,30m,2.0,-1.9,870.0,10.0,23m,0.5,-1.0999999999999996,820.0,,,,,,,,,,,40.0,10m,0.0,-0.6999999999999997,410.0,960,2m,3.1,-0.09999999999999964,190,900,43m,3.0,-1.4,170,,,,,,570.0,16m,3.4000000000000004,-3.2,120.0,,,,,,720,41m,1.7000000000000002,-1.9,140,460.0,43m,0.8,-0.7999999999999998,920.0,3,COMPLETE
4,4,0.8120668283042796,2025-05-29 23:24:59.181055,2025-05-29 23:25:00.250199,0 days 00:00:01.069144,410.0,52m,1.0,-1.5999999999999999,680.0,720.0,47m,1.9000000000000001,-0.09999999999999964,140.0,870.0,54m,2.2,-0.6999999999999997,330.0,860.0,15m,2.2,-1.2999999999999998,430.0,580.0,43m,0.30000000000000004,-0.09999999999999964,700.0,40.0,59m,1.0,-2.3,30.0,370.0,15m,2.7,-0.6999999999999997,400.0,770.0,41m,2.4000000000000004,-0.09999999999999964,870.0,830,43m,1.9000000000000001,-3.4,680,790,29m,1.8,-2.0,460,380.0,20m,2.0,-3.4,70.0,470.0,38m,2.1,-1.2999999999999998,280.0,250.0,8m,2.4000000000000004,-1.7999999999999998,930.0,920,27m,2.8000000000000003,-0.5,130,280.0,26m,1.6,-0.2999999999999998,480.0,5,COMPLETE
5,5,1.7349463376193615,2025-05-29 23:25:00.258190,2025-05-29 23:25:01.162385,0 days 00:00:00.904195,,,,,,180.0,34m,1.9000000000000001,-0.7999999999999998,110.0,50.0,11m,1.8,-1.5999999999999999,230.0,80.0,51m,0.1,-0.09999999999999964,530.0,260.0,14m,3.3000000000000003,-0.5,900.0,370.0,4m,1.5,-2.5,600.0,,,,,,860.0,55m,2.7,-2.0999999999999996,250.0,410,31m,0.1,-2.6,140,480,4m,0.9,-2.4,930,,,,,,10.0,21m,1.9000000000000001,-2.7,330.0,570.0,50m,1.1,-3.4,40.0,970,41m,2.0,-2.4,540,840.0,26m,0.7000000000000001,-0.2999999999999998,730.0,4,COMPLETE
6,6,,2025-05-29 23:25:01.167392,2025-05-29 23:25:01.670188,0 days 00:00:00.502796,,,,,,720.0,44m,1.0,-1.0,20.0,,,,,,,,,,,170.0,42m,0.0,-3.4,530.0,,,,,,,,,,,430.0,30m,0.9,-1.0,470.0,260,55m,0.2,-2.7,930,860,21m,3.2,-2.8,140,,,,,,,,,,,,,,,,750,35m,2.9000000000000004,-1.5999999999999999,110,,,,,,2,FAIL
7,7,-3.510121086606364,2025-05-29 23:25:01.676205,2025-05-29 23:25:02.749526,0 days 00:00:01.073321,560.0,7m,3.3000000000000003,-3.2,670.0,940.0,28m,0.1,-1.0,200.0,240.0,10m,0.30000000000000004,-1.2999999999999998,30.0,750.0,22m,1.2000000000000002,-2.6,10.0,970.0,40m,2.7,-1.0,200.0,890.0,23m,1.0,-1.7999999999999998,640.0,800.0,23m,0.2,-3.3,950.0,920.0,54m,1.6,-1.7999999999999998,440.0,550,53m,1.0,-1.5,770,640,29m,2.6,-1.5999999999999999,1000,890.0,51m,2.3000000000000003,-3.3,840.0,410.0,56m,0.4,-2.5,30.0,290.0,22m,0.30000000000000004,-1.5999999999999999,740.0,510,54m,1.3,-1.4,800,430.0,47m,2.5,-2.7,800.0,5,COMPLETE
8,8,-1.2358092616900547,2025-05-29 23:25:02.756514,2025-05-29 23:25:03.440467,0 days 00:00:00.683953,,,,,,830.0,34m,1.1,-1.7,950.0,,,,,,840.0,8m,1.8,-0.5999999999999996,580.0,1000.0,44m,3.0,-1.5999999999999999,580.0,,,,,,,,,,,530.0,41m,2.8000000000000003,-0.6999999999999997,70.0,840,37m,2.1,-0.09999999999999964,720,800,9m,0.30000000000000004,-1.2999999999999998,450,,,,,,60.0,58m,0.6000000000000001,-2.9,810.0,,,,,,680,15m,0.4,-2.3,240,910.0,24m,1.1,-0.6999999999999997,640.0,3,COMPLETE
9,9,-5.297322153142949,2025-05-29 23:25:03.444985,2025-05-29 23:25:04.135738,0 days 00:00:00.690753,,,,,,260.0,27m,0.1,-0.3999999999999999,330.0,,,,,,310.0,24m,3.0,-2.0999999999999996,80.0,690.0,31m,2.5,-1.2999999999999998,120.0,,,,,,,,,,,980.0,5m,2.6,-2.4,730.0,810,11m,2.0,-1.1999999999999997,20,970,30m,1.5,-0.09999999999999964,510,,,,,,670.0,33m,0.2,-1.0,290.0,,,,,,50,59m,1.3,-0.8999999999999999,150,110.0,30m,3.0,-2.9,570.0,3,COMPLETE
