,number,value,datetime_start,datetime_complete,duration,params_AAL_HAS_beta_win,params_AAL_HAS_trade_freq,params_AAL_HAS_z_entry,params_AAL_HAS_z_exit,params_AAL_HAS_z_win,params_BIDU_BIIB_beta_win,params_BIDU_BIIB_trade_freq,params_BIDU_BIIB_z_entry,params_BIDU_BIIB_z_exit,params_BIDU_BIIB_z_win,params_FB_BIIB_beta_win,params_FB_BIIB_trade_freq,params_FB_BIIB_z_entry,params_FB_BIIB_z_exit,params_FB_BIIB_z_win,params_ISRG_HAS_beta_win,params_ISRG_HAS_trade_freq,params_ISRG_HAS_z_entry,params_ISRG_HAS_z_exit,params_ISRG_HAS_z_win,params_KHC_HAS_beta_win,params_KHC_HAS_trade_freq,params_KHC_HAS_z_entry,params_KHC_HAS_z_exit,params_KHC_HAS_z_win,params_MELI_BIIB_beta_win,params_MELI_BIIB_trade_freq,params_MELI_BIIB_z_entry,params_MELI_BIIB_z_exit,params_MELI_BIIB_z_win,params_MSFT_HAS_beta_win,params_MSFT_HAS_trade_freq,params_MSFT_HAS_z_entry,params_MSFT_HAS_z_exit,params_MSFT_HAS_z_win,params_NTES_BIIB_beta_win,params_NTES_BIIB_trade_freq,params_NTES_BIIB_z_entry,params_NTES_BIIB_z_exit,params_NTES_BIIB_z_win,params_SBUX_HAS_beta_win,params_SBUX_HAS_trade_freq,params_SBUX_HAS_z_entry,params_SBUX_HAS_z_exit,params_SBUX_HAS_z_win,params_WYNN_BIIB_beta_win,params_WYNN_BIIB_trade_freq,params_WYNN_BIIB_z_entry,params_WYNN_BIIB_z_exit,params_WYNN_BIIB_z_win,params_pairs_to_trade,state
0,0,-1.0506778764001847,2025-05-29 23:28:42.031384,2025-05-29 23:28:42.525885,0 days 00:00:00.494501,250.0,35m,0.8,-2.5,20.0,,,,,,990.0,24m,2.6,-1.9,690.0,,,,,,,,,,,400,22m,0.2,-1.0999999999999996,640,550,21m,1.8,-1.1999999999999997,780,,,,,,,,,,,,,,,,2,COMPLETE
1,1,0.21014765452027367,2025-05-29 23:28:42.525885,2025-05-29 23:28:43.155927,0 days 00:00:00.630042,770.0,16m,1.3,-3.1,250.0,790.0,13m,1.5,-1.1999999999999997,720.0,240.0,21m,2.7,-2.0999999999999996,630.0,,,,,,,,,,,510,35m,3.0,-3.1,530,380,17m,2.2,-0.5,90,,,,,,480.0,39m,2.8000000000000003,-2.9,540.0,,,,,,3,COMPLETE
2,2,-2.2199527285250054,2025-05-29 23:28:43.167560,2025-05-29 23:28:43.995821,0 days 00:00:00.828261,470.0,3m,0.6000000000000001,-0.3999999999999999,960.0,420.0,19m,2.6,-1.9,530.0,920.0,5m,0.7000000000000001,-2.6,190.0,,,,,,110.0,17m,0.4,-0.09999999999999964,570.0,390,41m,0.1,-1.0999999999999996,220,830,49m,3.3000000000000003,-1.5,300,,,,,,870.0,24m,2.9000000000000004,-3.0,10.0,620.0,59m,0.6000000000000001,-1.7999999999999998,430.0,4,COMPLETE
3,3,-1.6679663851316469,2025-05-29 23:28:43.995821,2025-05-29 23:28:44.312485,0 days 00:00:00.316664,,,,,,,,,,,,,,,,,,,,,,,,,,900,43m,3.0,-1.4,170,140,12m,1.0,-2.8,740,,,,,,,,,,,,,,,,1,COMPLETE
4,4,-1.5339704105735297,2025-05-29 23:28:44.322904,2025-05-29 23:28:44.792294,0 days 00:00:00.469390,920.0,42m,2.7,-0.7999999999999998,250.0,,,,,,140.0,40m,1.6,-3.0,490.0,,,,,,,,,,,870,29m,1.6,-0.2999999999999998,570,410,9m,2.8000000000000003,-2.2,20,,,,,,,,,,,,,,,,2,COMPLETE
5,5,1.2008157901453282,2025-05-29 23:28:44.805021,2025-05-29 23:28:45.754330,0 days 00:00:00.949309,140.0,46m,3.4000000000000004,-2.3,540.0,280.0,37m,2.2,-0.2999999999999998,610.0,700.0,42m,3.4000000000000004,-2.0,100.0,680.0,51m,1.9000000000000001,-3.3,300.0,30.0,58m,1.2000000000000002,-1.5999999999999999,290.0,680,42m,0.1,-1.0,540,460,28m,1.5,-3.5,520,70.0,19m,0.1,-1.4,570.0,430.0,14m,2.2,-0.3999999999999999,640.0,930.0,7m,1.7000000000000002,-1.7999999999999998,700.0,5,COMPLETE
6,6,,2025-05-29 23:28:45.760282,2025-05-29 23:28:46.063506,0 days 00:00:00.303224,,,,,,,,,,,,,,,,,,,,,,,,,,800,25m,1.7000000000000002,0.0,840,680,39m,0.6000000000000001,-1.7,970,,,,,,,,,,,,,,,,1,FAIL
7,7,-4.683550415299271,2025-05-29 23:28:46.073553,2025-05-29 23:28:46.706057,0 days 00:00:00.632504,930.0,12m,0.9,-3.2,860.0,800.0,12m,1.1,-1.5,270.0,800.0,51m,2.0,-2.0999999999999996,930.0,,,,,,,,,,,920,23m,1.3,-0.8999999999999999,10,40,29m,3.3000000000000003,-0.3999999999999999,270,,,,,,550.0,19m,2.9000000000000004,-2.5,250.0,,,,,,3,COMPLETE
8,8,-1.221766218488255,2025-05-29 23:28:46.716654,2025-05-29 23:28:47.228326,0 days 00:00:00.511672,960.0,48m,2.0,-0.2999999999999998,590.0,,,,,,330.0,1m,2.5,0.0,790.0,,,,,,,,,,,60,47m,2.5,-0.6999999999999997,40,760,31m,3.0,-0.8999999999999999,600,,,,,,,,,,,,,,,,2,COMPLETE
9,9,,2025-05-29 23:28:47.239042,2025-05-29 23:28:47.730835,0 days 00:00:00.491793,270.0,22m,2.5,-2.7,650.0,,,,,,960.0,37m,3.0,-1.4,360.0,,,,,,,,,,,670,51m,2.4000000000000004,0.0,460,950,51m,2.7,-0.7999999999999998,180,,,,,,,,,,,,,,,,2,FAIL
