,number,value,datetime_start,datetime_complete,duration,params_ASML_ISRG_beta_win,params_ASML_ISRG_trade_freq,params_ASML_ISRG_z_entry,params_ASML_ISRG_z_exit,params_ASML_ISRG_z_win,params_CELG_IDXX_beta_win,params_CELG_IDXX_trade_freq,params_CELG_IDXX_z_entry,params_CELG_IDXX_z_exit,params_CELG_IDXX_z_win,params_CSX_MAR_beta_win,params_CSX_MAR_trade_freq,params_CSX_MAR_z_entry,params_CSX_MAR_z_exit,params_CSX_MAR_z_win,params_ILMN_INCY_beta_win,params_ILMN_INCY_trade_freq,params_ILMN_INCY_z_entry,params_ILMN_INCY_z_exit,params_ILMN_INCY_z_win,params_LRCX_CHTR_beta_win,params_LRCX_CHTR_trade_freq,params_LRCX_CHTR_z_entry,params_LRCX_CHTR_z_exit,params_LRCX_CHTR_z_win,params_MSFT_VRTX_beta_win,params_MSFT_VRTX_trade_freq,params_MSFT_VRTX_z_entry,params_MSFT_VRTX_z_exit,params_MSFT_VRTX_z_win,params_NFLX_IDXX_beta_win,params_NFLX_IDXX_trade_freq,params_NFLX_IDXX_z_entry,params_NFLX_IDXX_z_exit,params_NFLX_IDXX_z_win,params_TTWO_SWKS_beta_win,params_TTWO_SWKS_trade_freq,params_TTWO_SWKS_z_entry,params_TTWO_SWKS_z_exit,params_TTWO_SWKS_z_win,params_WDC_CERN_beta_win,params_WDC_CERN_trade_freq,params_WDC_CERN_z_entry,params_WDC_CERN_z_exit,params_WDC_CERN_z_win,params_WYNN_ADSK_beta_win,params_WYNN_ADSK_trade_freq,params_WYNN_ADSK_z_entry,params_WYNN_ADSK_z_exit,params_WYNN_ADSK_z_win,params_pairs_to_trade,state
0,0,1.9463747209747118,2025-05-29 23:32:48.339884,2025-05-29 23:32:48.818416,0 days 00:00:00.478532,250.0,35m,0.8,-2.5,20.0,,,,,,,,,,,550,21m,1.8,-1.1999999999999997,780,,,,,,,,,,,,,,,,990.0,24m,2.6,-1.9,690.0,400,22m,0.2,-1.0999999999999996,640,,,,,,2,COMPLETE
1,1,1.070146596261801,2025-05-29 23:32:48.828903,2025-05-29 23:32:49.437132,0 days 00:00:00.608229,770.0,16m,1.3,-3.1,250.0,790.0,13m,1.5,-1.1999999999999997,720.0,480.0,39m,2.8000000000000003,-2.9,540.0,380,17m,2.2,-0.5,90,,,,,,,,,,,,,,,,240.0,21m,2.7,-2.0999999999999996,630.0,510,35m,3.0,-3.1,530,,,,,,3,COMPLETE
2,2,-1.483967973291671,2025-05-29 23:32:49.453285,2025-05-29 23:32:50.251273,0 days 00:00:00.797988,470.0,3m,0.6000000000000001,-0.3999999999999999,960.0,420.0,19m,2.6,-1.9,530.0,870.0,24m,2.9000000000000004,-3.0,10.0,830,49m,3.3000000000000003,-1.5,300,110.0,17m,0.4,-0.09999999999999964,570.0,,,,,,,,,,,920.0,5m,0.7000000000000001,-2.6,190.0,390,41m,0.1,-1.0999999999999996,220,620.0,59m,0.6000000000000001,-1.7999999999999998,430.0,4,COMPLETE
3,3,0.9198094500051291,2025-05-29 23:32:50.251273,2025-05-29 23:32:50.559080,0 days 00:00:00.307807,,,,,,,,,,,,,,,,140,12m,1.0,-2.8,740,,,,,,,,,,,,,,,,,,,,,900,43m,3.0,-1.4,170,,,,,,1,COMPLETE
4,4,-0.07344397432196617,2025-05-29 23:32:50.567472,2025-05-29 23:32:51.030388,0 days 00:00:00.462916,920.0,42m,2.7,-0.7999999999999998,250.0,,,,,,,,,,,410,9m,2.8000000000000003,-2.2,20,,,,,,,,,,,,,,,,140.0,40m,1.6,-3.0,490.0,870,29m,1.6,-0.2999999999999998,570,,,,,,2,COMPLETE
5,5,2.81341728514247,2025-05-29 23:32:51.035029,2025-05-29 23:32:52.004137,0 days 00:00:00.969108,140.0,46m,3.4000000000000004,-2.3,540.0,280.0,37m,2.2,-0.2999999999999998,610.0,430.0,14m,2.2,-0.3999999999999999,640.0,460,28m,1.5,-3.5,520,30.0,58m,1.2000000000000002,-1.5999999999999999,290.0,680.0,51m,1.9000000000000001,-3.3,300.0,70.0,19m,0.1,-1.4,570.0,700.0,42m,3.4000000000000004,-2.0,100.0,680,42m,0.1,-1.0,540,930.0,7m,1.7000000000000002,-1.7999999999999998,700.0,5,COMPLETE
6,6,,2025-05-29 23:32:52.008047,2025-05-29 23:32:52.316450,0 days 00:00:00.308403,,,,,,,,,,,,,,,,680,39m,0.6000000000000001,-1.7,970,,,,,,,,,,,,,,,,,,,,,800,25m,1.7000000000000002,0.0,840,,,,,,1,FAIL
7,7,-1.3958196108860168,2025-05-29 23:32:52.321549,2025-05-29 23:32:52.984918,0 days 00:00:00.663369,930.0,12m,0.9,-3.2,860.0,800.0,12m,1.1,-1.5,270.0,550.0,19m,2.9000000000000004,-2.5,250.0,40,29m,3.3000000000000003,-0.3999999999999999,270,,,,,,,,,,,,,,,,800.0,51m,2.0,-2.0999999999999996,930.0,920,23m,1.3,-0.8999999999999999,10,,,,,,3,COMPLETE
8,8,-2.009232962130718,2025-05-29 23:32:52.988426,2025-05-29 23:32:53.436622,0 days 00:00:00.448196,960.0,48m,2.0,-0.2999999999999998,590.0,,,,,,,,,,,760,31m,3.0,-0.8999999999999999,600,,,,,,,,,,,,,,,,330.0,1m,2.5,0.0,790.0,60,47m,2.5,-0.6999999999999997,40,,,,,,2,COMPLETE
9,9,,2025-05-29 23:32:53.452589,2025-05-29 23:32:53.904805,0 days 00:00:00.452216,270.0,22m,2.5,-2.7,650.0,,,,,,,,,,,950,51m,2.7,-0.7999999999999998,180,,,,,,,,,,,,,,,,960.0,37m,3.0,-1.4,360.0,670,51m,2.4000000000000004,0.0,460,,,,,,2,FAIL
