,number,value,datetime_start,datetime_complete,duration,params_ALGN_CELG_beta_win,params_ALGN_CELG_trade_freq,params_ALGN_CELG_z_entry,params_ALGN_CELG_z_exit,params_ALGN_CELG_z_win,params_ATVI_TTWO_beta_win,params_ATVI_TTWO_trade_freq,params_ATVI_TTWO_z_entry,params_ATVI_TTWO_z_exit,params_ATVI_TTWO_z_win,params_AVGO_CELG_beta_win,params_AVGO_CELG_trade_freq,params_AVGO_CELG_z_entry,params_AVGO_CELG_z_exit,params_AVGO_CELG_z_win,params_BIDU_CELG_beta_win,params_BIDU_CELG_trade_freq,params_BIDU_CELG_z_entry,params_BIDU_CELG_z_exit,params_BIDU_CELG_z_win,params_BIIB_FOXA_beta_win,params_BIIB_FOXA_trade_freq,params_BIIB_FOXA_z_entry,params_BIIB_FOXA_z_exit,params_BIIB_FOXA_z_win,params_FOX_BIIB_beta_win,params_FOX_BIIB_trade_freq,params_FOX_BIIB_z_entry,params_FOX_BIIB_z_exit,params_FOX_BIIB_z_win,params_FOX_FOXA_beta_win,params_FOX_FOXA_trade_freq,params_FOX_FOXA_z_entry,params_FOX_FOXA_z_exit,params_FOX_FOXA_z_win,params_NTES_CELG_beta_win,params_NTES_CELG_trade_freq,params_NTES_CELG_z_entry,params_NTES_CELG_z_exit,params_NTES_CELG_z_win,params_PEP_CELG_beta_win,params_PEP_CELG_trade_freq,params_PEP_CELG_z_entry,params_PEP_CELG_z_exit,params_PEP_CELG_z_win,params_TTWO_HSIC_beta_win,params_TTWO_HSIC_trade_freq,params_TTWO_HSIC_z_entry,params_TTWO_HSIC_z_exit,params_TTWO_HSIC_z_win,params_pairs_to_trade,state
0,0,3.135006774840398,2025-05-29 23:36:05.277182,2025-05-29 23:36:05.781272,0 days 00:00:00.504090,,,,,,,,,,,400,22m,0.2,-1.0999999999999996,640,,,,,,250.0,35m,0.8,-2.5,20.0,550,21m,1.8,-1.1999999999999997,780,,,,,,,,,,,990.0,24m,2.6,-1.9,690.0,,,,,,2,COMPLETE
1,1,3.026576825312836,2025-05-29 23:36:05.781272,2025-05-29 23:36:06.402119,0 days 00:00:00.620847,790.0,13m,1.5,-1.1999999999999997,720.0,,,,,,510,35m,3.0,-3.1,530,,,,,,770.0,16m,1.3,-3.1,250.0,380,17m,2.2,-0.5,90,,,,,,,,,,,240.0,21m,2.7,-2.0999999999999996,630.0,480.0,39m,2.8000000000000003,-2.9,540.0,3,COMPLETE
2,2,-1.834311275062875,2025-05-29 23:36:06.410185,2025-05-29 23:36:07.161775,0 days 00:00:00.751590,420.0,19m,2.6,-1.9,530.0,110.0,17m,0.4,-0.09999999999999964,570.0,390,41m,0.1,-1.0999999999999996,220,,,,,,470.0,3m,0.6000000000000001,-0.3999999999999999,960.0,830,49m,3.3000000000000003,-1.5,300,,,,,,620.0,59m,0.6000000000000001,-1.7999999999999998,430.0,920.0,5m,0.7000000000000001,-2.6,190.0,870.0,24m,2.9000000000000004,-3.0,10.0,4,COMPLETE
3,3,-0.12248075344251089,2025-05-29 23:36:07.161775,2025-05-29 23:36:07.454827,0 days 00:00:00.293052,,,,,,,,,,,900,43m,3.0,-1.4,170,,,,,,,,,,,140,12m,1.0,-2.8,740,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
4,4,-1.5666608391788068,2025-05-29 23:36:07.461554,2025-05-29 23:36:07.905720,0 days 00:00:00.444166,,,,,,,,,,,870,29m,1.6,-0.2999999999999998,570,,,,,,920.0,42m,2.7,-0.7999999999999998,250.0,410,9m,2.8000000000000003,-2.2,20,,,,,,,,,,,140.0,40m,1.6,-3.0,490.0,,,,,,2,COMPLETE
5,5,-3.3875958640941297,2025-05-29 23:36:07.915985,2025-05-29 23:36:08.842395,0 days 00:00:00.926410,280.0,37m,2.2,-0.2999999999999998,610.0,30.0,58m,1.2000000000000002,-1.5999999999999999,290.0,680,42m,0.1,-1.0,540,70.0,19m,0.1,-1.4,570.0,140.0,46m,3.4000000000000004,-2.3,540.0,460,28m,1.5,-3.5,520,680.0,51m,1.9000000000000001,-3.3,300.0,930.0,7m,1.7000000000000002,-1.7999999999999998,700.0,700.0,42m,3.4000000000000004,-2.0,100.0,430.0,14m,2.2,-0.3999999999999999,640.0,5,COMPLETE
6,6,,2025-05-29 23:36:08.847259,2025-05-29 23:36:09.145066,0 days 00:00:00.297807,,,,,,,,,,,800,25m,1.7000000000000002,0.0,840,,,,,,,,,,,680,39m,0.6000000000000001,-1.7,970,,,,,,,,,,,,,,,,,,,,,1,FAIL
7,7,2.0770320133888918,2025-05-29 23:36:09.152499,2025-05-29 23:36:09.772003,0 days 00:00:00.619504,800.0,12m,1.1,-1.5,270.0,,,,,,920,23m,1.3,-0.8999999999999999,10,,,,,,930.0,12m,0.9,-3.2,860.0,40,29m,3.3000000000000003,-0.3999999999999999,270,,,,,,,,,,,800.0,51m,2.0,-2.0999999999999996,930.0,550.0,19m,2.9000000000000004,-2.5,250.0,3,COMPLETE
8,8,-0.276178408379907,2025-05-29 23:36:09.777712,2025-05-29 23:36:10.237271,0 days 00:00:00.459559,,,,,,,,,,,60,47m,2.5,-0.6999999999999997,40,,,,,,960.0,48m,2.0,-0.2999999999999998,590.0,760,31m,3.0,-0.8999999999999999,600,,,,,,,,,,,330.0,1m,2.5,0.0,790.0,,,,,,2,COMPLETE
9,9,,2025-05-29 23:36:10.246378,2025-05-29 23:36:10.678219,0 days 00:00:00.431841,,,,,,,,,,,670,51m,2.4000000000000004,0.0,460,,,,,,270.0,22m,2.5,-2.7,650.0,950,51m,2.7,-0.7999999999999998,180,,,,,,,,,,,960.0,37m,3.0,-1.4,360.0,,,,,,2,FAIL
