,number,value,datetime_start,datetime_complete,duration,params_AAL_WBA_beta_win,params_AAL_WBA_trade_freq,params_AAL_WBA_z_entry,params_AAL_WBA_z_exit,params_AAL_WBA_z_win,params_ADI_WBA_beta_win,params_ADI_WBA_trade_freq,params_ADI_WBA_z_entry,params_ADI_WBA_z_exit,params_ADI_WBA_z_win,params_JD_WBA_beta_win,params_JD_WBA_trade_freq,params_JD_WBA_z_entry,params_JD_WBA_z_exit,params_JD_WBA_z_win,params_SIRI_WBA_beta_win,params_SIRI_WBA_trade_freq,params_SIRI_WBA_z_entry,params_SIRI_WBA_z_exit,params_SIRI_WBA_z_win,params_WYNN_WBA_beta_win,params_WYNN_WBA_trade_freq,params_WYNN_WBA_z_entry,params_WYNN_WBA_z_exit,params_WYNN_WBA_z_win,params_pairs_to_trade,state
0,0,0.7070906565132925,2025-05-29 23:38:29.772066,2025-05-29 23:38:30.118252,0 days 00:00:00.346186,400,22m,0.2,-1.0999999999999996,640,,,,,,,,,,,990.0,24m,2.6,-1.9,690.0,,,,,,2,COMPLETE
1,1,-1.962860918729939,2025-05-29 23:38:30.133949,2025-05-29 23:38:30.546633,0 days 00:00:00.412684,780,20m,2.3000000000000003,-0.7999999999999998,510,,,,,,,,,,,20.0,34m,1.0,-1.5,230.0,510.0,35m,3.0,-3.1,530.0,3,COMPLETE
2,2,0.6133452234097321,2025-05-29 23:38:30.546633,2025-05-29 23:38:30.832947,0 days 00:00:00.286314,630,20m,1.4000000000000001,-3.5,780,,,,,,,,,,,720.0,12m,2.3000000000000003,-2.3,430.0,,,,,,2,COMPLETE
3,3,,2025-05-29 23:38:30.848604,2025-05-29 23:38:33.550145,0 days 00:00:02.701541,620,15m,1.9000000000000001,-1.5,840,,,,,,,,,,,,,,,,,,,,,1,FAIL
4,4,-2.929658268006362,2025-05-29 23:38:33.550145,2025-05-29 23:38:33.871212,0 days 00:00:00.321067,140,13m,2.5,-0.3999999999999999,260,,,,,,,,,,,180.0,36m,2.9000000000000004,-2.9,480.0,,,,,,2,COMPLETE
5,5,,2025-05-29 23:38:33.871212,2025-05-29 23:38:34.099984,0 days 00:00:00.228772,680,38m,0.4,-2.0999999999999996,440,,,,,,,,,,,,,,,,,,,,,1,FAIL
6,6,-1.1386288825725046,2025-05-29 23:38:34.099984,2025-05-29 23:38:34.409292,0 days 00:00:00.309308,60,1m,2.5,-3.5,900,,,,,,,,,,,60.0,15m,2.6,-3.1,120.0,,,,,,2,COMPLETE
7,7,-1.467059092861567,2025-05-29 23:38:34.409292,2025-05-29 23:38:34.975045,0 days 00:00:00.565753,770,54m,2.6,-1.5999999999999999,180,730.0,58m,1.1,-3.4,220.0,210.0,12m,3.0,-0.5,160.0,580.0,44m,2.9000000000000004,-2.9,640.0,550.0,19m,1.3,-1.7999999999999998,980.0,5,COMPLETE
8,8,1.4086761994817536,2025-05-29 23:38:34.986626,2025-05-29 23:38:35.210594,0 days 00:00:00.223968,150,38m,1.2000000000000002,-2.9,390,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
9,9,-1.9863621602172534,2025-05-29 23:38:35.213444,2025-05-29 23:38:35.526266,0 days 00:00:00.312822,80,6m,3.2,-2.0999999999999996,800,,,,,,,,,,,500.0,24m,1.5,-3.2,720.0,,,,,,2,COMPLETE
10,10,-8.482185985552677,2025-05-29 23:38:35.526266,2025-05-29 23:38:36.121735,0 days 00:00:00.595469,410,34m,1.4000000000000001,-1.5999999999999999,990,370.0,37m,2.1,-1.7999999999999998,540.0,500.0,37m,1.8,-0.3999999999999999,640.0,20.0,3m,1.3,-0.2999999999999998,70.0,660.0,36m,1.6,-3.4,890.0,5,COMPLETE
11,11,,2025-05-29 23:38:36.132335,2025-05-29 23:38:36.351852,0 days 00:00:00.219517,520,31m,0.30000000000000004,-0.6999999999999997,800,,,,,,,,,,,,,,,,,,,,,1,FAIL
12,12,-0.2892004120506507,2025-05-29 23:38:36.351852,2025-05-29 23:38:36.848376,0 days 00:00:00.496524,120,37m,2.3000000000000003,-0.09999999999999964,330,110.0,39m,0.5,-1.0,700.0,,,,,,160.0,12m,2.0,-3.0,660.0,90.0,21m,1.0,-3.2,880.0,4,COMPLETE
13,13,,2025-05-29 23:38:36.848376,2025-05-29 23:38:37.107550,0 days 00:00:00.259174,970,43m,0.4,-2.7,10,,,,,,,,,,,,,,,,,,,,,1,FAIL
14,14,,2025-05-29 23:38:37.113015,2025-05-29 23:38:37.368102,0 days 00:00:00.255087,980,38m,0.30000000000000004,-2.6,10,,,,,,,,,,,,,,,,,,,,,1,FAIL
15,15,-2.6449033306049645,2025-05-29 23:38:37.368102,2025-05-29 23:38:37.627956,0 days 00:00:00.259854,280,38m,0.5,-2.5,10,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
16,16,,2025-05-29 23:38:37.627956,2025-05-29 23:38:37.895719,0 days 00:00:00.267763,340,38m,0.1,-1.0999999999999996,560,,,,,,,,,,,,,,,,,,,,,1,FAIL
17,17,-0.4136312219098829,2025-05-29 23:38:37.906417,2025-05-29 23:38:38.166441,0 days 00:00:00.260024,420,22m,0.1,-2.7,490,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
18,18,-3.0089404809034384,2025-05-29 23:38:38.176951,2025-05-29 23:38:38.428153,0 days 00:00:00.251202,300,3m,0.7000000000000001,-1.0,570,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
19,19,-3.215268737421141,2025-05-29 23:38:38.428153,2025-05-29 23:38:38.903125,0 days 00:00:00.474972,600,17m,0.9,-1.1999999999999997,630,,,,,,,,,,,1000.0,33m,0.0,-1.2999999999999998,990.0,980.0,30m,0.0,-0.19999999999999973,80.0,3,COMPLETE
20,20,-0.8623702889109541,2025-05-29 23:38:38.913359,2025-05-29 23:38:39.182155,0 days 00:00:00.268796,260,42m,0.2,-2.9,400,,,,,,,,,,,,,,,,,,,,,1,COMPLETE
21,21,,2025-05-29 23:38:39.182155,2025-05-29 23:38:39.585804,0 days 00:00:00.403649,900,23m,1.3,-2.0999999999999996,670,,,,,,,,,,,980.0,24m,3.4000000000000004,-0.6999999999999997,980.0,,,,,,2,FAIL
22,22,,2025-05-29 23:38:39.585804,2025-05-29 23:38:39.972091,0 days 00:00:00.386287,950,21m,1.2000000000000002,-2.0,660,,,,,,,,,,,970.0,14m,3.4000000000000004,-0.6999999999999997,910.0,,,,,,2,FAIL
23,23,,2025-05-29 23:38:39.972091,2025-05-29 23:38:40.334816,0 days 00:00:00.362725,930,19m,1.2000000000000002,-2.0999999999999996,690,,,,,,,,,,,960.0,24m,3.4000000000000004,-0.5999999999999996,910.0,,,,,,2,FAIL
24,24,0.5267445394508168,2025-05-29 23:38:40.345226,2025-05-29 23:38:40.707625,0 days 00:00:00.362399,470,16m,1.2000000000000002,-2.2,690,,,,,,,,,,,980.0,24m,3.4000000000000004,-0.6999999999999997,970.0,,,,,,2,COMPLETE
25,25,-1.74214022123083,2025-05-29 23:38:40.707625,2025-05-29 23:38:41.205062,0 days 00:00:00.497437,220,35m,1.8,-3.1,130,,,,,,,,,,,770.0,2m,0.4,-2.0999999999999996,810.0,30.0,8m,3.5,-0.09999999999999964,120.0,3,COMPLETE
26,26,,2025-05-29 23:38:41.205062,2025-05-29 23:38:41.784292,0 days 00:00:00.579230,980,30m,0.0,-2.0,440,1000.0,53m,3.4000000000000004,0.0,980.0,,,,,,390.0,20m,3.3000000000000003,-1.0,360.0,960.0,45m,2.5,-1.4,460.0,4,FAIL
27,27,-0.9507034257355653,2025-05-29 23:38:41.784292,2025-05-29 23:38:42.365731,0 days 00:00:00.581439,10,33m,1.8,-2.0999999999999996,430,960.0,35m,3.5,-0.09999999999999964,960.0,,,,,,400.0,56m,3.4000000000000004,-1.0,300.0,960.0,15m,2.4000000000000004,-1.5,440.0,4,COMPLETE
