,number,value,datetime_start,datetime_complete,duration,params_AAL_ADSK_beta_win,params_AAL_ADSK_trade_freq,params_AAL_ADSK_z_entry,params_AAL_ADSK_z_exit,params_AAL_ADSK_z_win,params_ATVI_SIRI_beta_win,params_ATVI_SIRI_trade_freq,params_ATVI_SIRI_z_entry,params_ATVI_SIRI_z_exit,params_ATVI_SIRI_z_win,params_BIDU_NTAP_beta_win,params_BIDU_NTAP_trade_freq,params_BIDU_NTAP_z_entry,params_BIDU_NTAP_z_exit,params_BIDU_NTAP_z_win,params_BMRN_WDAY_beta_win,params_BMRN_WDAY_trade_freq,params_BMRN_WDAY_z_entry,params_BMRN_WDAY_z_exit,params_BMRN_WDAY_z_win,params_CSCO_PAYX_beta_win,params_CSCO_PAYX_trade_freq,params_CSCO_PAYX_z_entry,params_CSCO_PAYX_z_exit,params_CSCO_PAYX_z_win,params_INTC_LULU_beta_win,params_INTC_LULU_trade_freq,params_INTC_LULU_z_entry,params_INTC_LULU_z_exit,params_INTC_LULU_z_win,params_MELI_ULTA_beta_win,params_MELI_ULTA_trade_freq,params_MELI_ULTA_z_entry,params_MELI_ULTA_z_exit,params_MELI_ULTA_z_win,params_NTES_SYMC_beta_win,params_NTES_SYMC_trade_freq,params_NTES_SYMC_z_entry,params_NTES_SYMC_z_exit,params_NTES_SYMC_z_win,params_NVDA_SIRI_beta_win,params_NVDA_SIRI_trade_freq,params_NVDA_SIRI_z_entry,params_NVDA_SIRI_z_exit,params_NVDA_SIRI_z_win,params_WDC_SIRI_beta_win,params_WDC_SIRI_trade_freq,params_WDC_SIRI_z_entry,params_WDC_SIRI_z_exit,params_WDC_SIRI_z_win,params_pairs_to_trade,state
0,0,-0.5544515823602536,2025-05-29 23:40:12.169245,2025-05-29 23:40:12.674660,0 days 00:00:00.505415,,,,,,,,,,,250.0,35m,0.8,-2.5,20.0,,,,,,,,,,,990.0,24m,2.6,-1.9,690.0,,,,,,550,21m,1.8,-1.1999999999999997,780,,,,,,400,22m,0.2,-1.0999999999999996,640,2,COMPLETE
1,1,-2.146076510067543,2025-05-29 23:40:12.674660,2025-05-29 23:40:13.323698,0 days 00:00:00.649038,480.0,39m,2.8000000000000003,-2.9,540.0,,,,,,770.0,16m,1.3,-3.1,250.0,,,,,,,,,,,240.0,21m,2.7,-2.0999999999999996,630.0,,,,,,380,17m,2.2,-0.5,90,790.0,13m,1.5,-1.1999999999999997,720.0,510,35m,3.0,-3.1,530,3,COMPLETE
2,2,-4.373811399816037,2025-05-29 23:40:13.334195,2025-05-29 23:40:14.183390,0 days 00:00:00.849195,870.0,24m,2.9000000000000004,-3.0,10.0,,,,,,470.0,3m,0.6000000000000001,-0.3999999999999999,960.0,110.0,17m,0.4,-0.09999999999999964,570.0,620.0,59m,0.6000000000000001,-1.7999999999999998,430.0,920.0,5m,0.7000000000000001,-2.6,190.0,,,,,,830,49m,3.3000000000000003,-1.5,300,420.0,19m,2.6,-1.9,530.0,390,41m,0.1,-1.0999999999999996,220,4,COMPLETE
3,3,0.6713035364056353,2025-05-29 23:40:14.183390,2025-05-29 23:40:14.494786,0 days 00:00:00.311396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140,12m,1.0,-2.8,740,,,,,,900,43m,3.0,-1.4,170,1,COMPLETE
4,4,-1.8943773250912659,2025-05-29 23:40:14.494786,2025-05-29 23:40:14.987091,0 days 00:00:00.492305,,,,,,,,,,,920.0,42m,2.7,-0.7999999999999998,250.0,,,,,,,,,,,140.0,40m,1.6,-3.0,490.0,,,,,,410,9m,2.8000000000000003,-2.2,20,,,,,,870,29m,1.6,-0.2999999999999998,570,2,COMPLETE
5,5,0.5251028857451738,2025-05-29 23:40:14.989606,2025-05-29 23:40:15.985053,0 days 00:00:00.995447,430.0,14m,2.2,-0.3999999999999999,640.0,70.0,19m,0.1,-1.4,570.0,140.0,46m,3.4000000000000004,-2.3,540.0,30.0,58m,1.2000000000000002,-1.5999999999999999,290.0,930.0,7m,1.7000000000000002,-1.7999999999999998,700.0,700.0,42m,3.4000000000000004,-2.0,100.0,680.0,51m,1.9000000000000001,-3.3,300.0,460,28m,1.5,-3.5,520,280.0,37m,2.2,-0.2999999999999998,610.0,680,42m,0.1,-1.0,540,5,COMPLETE
6,6,,2025-05-29 23:40:15.985053,2025-05-29 23:40:16.287384,0 days 00:00:00.302331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,680,39m,0.6000000000000001,-1.7,970,,,,,,800,25m,1.7000000000000002,0.0,840,1,FAIL
7,7,-1.2824689766890711,2025-05-29 23:40:16.297591,2025-05-29 23:40:16.966309,0 days 00:00:00.668718,550.0,19m,2.9000000000000004,-2.5,250.0,,,,,,930.0,12m,0.9,-3.2,860.0,,,,,,,,,,,800.0,51m,2.0,-2.0999999999999996,930.0,,,,,,40,29m,3.3000000000000003,-0.3999999999999999,270,800.0,12m,1.1,-1.5,270.0,920,23m,1.3,-0.8999999999999999,10,3,COMPLETE
8,8,-1.8544305460479538,2025-05-29 23:40:16.966309,2025-05-29 23:40:17.461953,0 days 00:00:00.495644,,,,,,,,,,,960.0,48m,2.0,-0.2999999999999998,590.0,,,,,,,,,,,330.0,1m,2.5,0.0,790.0,,,,,,760,31m,3.0,-0.8999999999999999,600,,,,,,60,47m,2.5,-0.6999999999999997,40,2,COMPLETE
9,9,,2025-05-29 23:40:17.461953,2025-05-29 23:40:17.940495,0 days 00:00:00.478542,,,,,,,,,,,270.0,22m,2.5,-2.7,650.0,,,,,,,,,,,960.0,37m,3.0,-1.4,360.0,,,,,,950,51m,2.7,-0.7999999999999998,180,,,,,,670,51m,2.4000000000000004,0.0,460,2,FAIL
10,10,1.2831856555049685,2025-05-29 23:40:17.940495,2025-05-29 23:40:18.946140,0 days 00:00:01.005645,580.0,50m,1.5,-0.6999999999999997,860.0,210.0,40m,0.1,-1.7,180.0,10.0,26m,0.1,-0.7999999999999998,800.0,720.0,37m,1.2000000000000002,-1.7999999999999998,150.0,920.0,17m,1.2000000000000002,-1.5,770.0,870.0,51m,2.5,-3.3,730.0,290.0,53m,0.30000000000000004,-0.19999999999999973,380.0,870,31m,1.5,-0.3999999999999999,230,50.0,38m,2.0,-1.5,230.0,980,6m,0.2,-3.4,40,5,COMPLETE
11,11,2.7904539632015952,2025-05-29 23:40:18.956292,2025-05-29 23:40:19.613492,0 days 00:00:00.657200,280.0,19m,1.4000000000000001,-2.3,330.0,,,,,,400.0,18m,2.2,-0.3999999999999999,620.0,,,,,,,,,,,500.0,57m,0.6000000000000001,-3.0,700.0,,,,,,130,24m,1.6,-0.6999999999999997,820,580.0,56m,2.7,-2.7,230.0,990,18m,2.2,-1.0,390,3,COMPLETE
12,12,-2.249832399891296,2025-05-29 23:40:19.629608,2025-05-29 23:40:20.646810,0 days 00:00:01.017202,10.0,19m,0.2,-1.5,320.0,,,,,,430.0,24m,2.0,-1.2999999999999998,710.0,940.0,23m,3.5,-3.4,980.0,60.0,24m,3.4000000000000004,-3.4,110.0,510.0,2m,0.0,-0.7999999999999998,360.0,,,,,,220,44m,0.0,0.0,1000,660.0,56m,3.3000000000000003,-3.5,10.0,80,20m,2.2,-2.3,910,4,COMPLETE
13,13,-3.5492433944220028,2025-05-29 23:40:20.651911,2025-05-29 23:40:21.875285,0 days 00:00:01.223374,200.0,53m,1.1,-1.1999999999999997,930.0,400.0,40m,2.5,-3.2,70.0,20.0,33m,2.7,-1.0999999999999996,770.0,760.0,8m,2.1,-2.0,10.0,950.0,17m,0.0,0.0,1000.0,550.0,32m,1.1,-3.4,950.0,50.0,41m,0.1,0.0,860.0,980,31m,0.8,0.0,280,50.0,2m,0.0,-2.7,230.0,1000,6m,1.0,-3.5,340,5,COMPLETE
14,14,-0.5645765746840291,2025-05-29 23:40:21.884778,2025-05-29 23:40:22.890012,0 days 00:00:01.005234,730.0,50m,1.4000000000000001,-0.19999999999999973,960.0,,,,,,670.0,54m,1.5,-0.09999999999999964,370.0,510.0,37m,1.9000000000000001,-1.7999999999999998,80.0,520.0,2m,1.5,-0.5,800.0,670.0,51m,0.30000000000000004,-3.3,540.0,,,,,,570,24m,2.2,-2.0,990,80.0,38m,2.9000000000000004,-2.4,960.0,740,18m,0.9,-2.3,350,4,COMPLETE
15,15,-2.24737172383951,2025-05-29 23:40:22.905726,2025-05-29 23:40:24.061381,0 days 00:00:01.155655,280.0,20m,0.7000000000000001,-2.0,670.0,920.0,40m,0.2,0.0,100.0,270.0,26m,0.1,-1.7,670.0,580.0,43m,0.2,-0.6999999999999997,510.0,160.0,3m,3.0,-2.8,420.0,370.0,33m,1.4000000000000001,-2.8,790.0,170.0,54m,0.0,0.0,70.0,710,23m,1.0,-0.7999999999999998,390,470.0,30m,2.0,-0.6999999999999997,270.0,720,53m,2.2,-2.0999999999999996,770,5,COMPLETE
16,16,-1.8694060356762576,2025-05-29 23:40:24.071512,2025-05-29 23:40:24.866965,0 days 00:00:00.795453,640.0,18m,2.0,-0.8999999999999999,350.0,,,,,,40.0,18m,0.0,-0.6999999999999997,990.0,,,,,,,,,,,630.0,57m,3.5,-1.2999999999999998,390.0,,,,,,960,2m,1.6,-1.4,760,990.0,22m,1.1,-3.0,30.0,590,21m,0.7000000000000001,-0.09999999999999964,390,3,COMPLETE
17,17,-2.3751365027207525,2025-05-29 23:40:24.877215,2025-05-29 23:40:25.864112,0 days 00:00:00.986897,340.0,50m,1.6,-2.0999999999999996,770.0,,,,,,330.0,56m,2.5,0.0,410.0,1000.0,6m,2.8000000000000003,-3.1,290.0,760.0,28m,2.5,-0.8999999999999999,670.0,830.0,34m,2.0,-3.5,790.0,,,,,,290,1m,0.5,-0.5,160,290.0,38m,2.5,-2.0,320.0,820,32m,3.5,-2.8,180,4,COMPLETE
18,18,,2025-05-29 23:40:25.872615,2025-05-29 23:40:26.246046,0 days 00:00:00.373431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,59m,2.2,-1.0,620,,,,,,980,15m,1.8,-1.7,270,1,FAIL
19,19,1.2671207223983303,2025-05-29 23:40:26.256538,2025-05-29 23:40:26.661666,0 days 00:00:00.405128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,650,30m,2.1,-1.0,590,,,,,,990,2m,1.8,-2.9,720,1,COMPLETE
20,20,,2025-05-29 23:40:26.661666,2025-05-29 23:40:27.254721,0 days 00:00:00.593055,,,,,,,,,,,610.0,21m,3.3000000000000003,-1.5,830.0,,,,,,,,,,,440.0,22m,0.9,-2.6,640.0,,,,,,880,15m,1.4000000000000001,-1.9,870,,,,,,240,25m,1.8,-1.7,420,2,FAIL
