,number,value,datetime_start,datetime_complete,duration,params_AAPL_VRSN_beta_win,params_AAPL_VRSN_trade_freq,params_AAPL_VRSN_z_entry,params_AAPL_VRSN_z_exit,params_AAPL_VRSN_z_win,params_AMD_AMAT_beta_win,params_AMD_AMAT_trade_freq,params_AMD_AMAT_z_entry,params_AMD_AMAT_z_exit,params_AMD_AMAT_z_win,params_AMD_BIDU_beta_win,params_AMD_BIDU_trade_freq,params_AMD_BIDU_z_entry,params_AMD_BIDU_z_exit,params_AMD_BIDU_z_win,params_AMD_NFLX_beta_win,params_AMD_NFLX_trade_freq,params_AMD_NFLX_z_entry,params_AMD_NFLX_z_exit,params_AMD_NFLX_z_win,params_AMGN_VRSN_beta_win,params_AMGN_VRSN_trade_freq,params_AMGN_VRSN_z_entry,params_AMGN_VRSN_z_exit,params_AMGN_VRSN_z_win,params_ASML_VRSN_beta_win,params_ASML_VRSN_trade_freq,params_ASML_VRSN_z_entry,params_ASML_VRSN_z_exit,params_ASML_VRSN_z_win,params_FB_VRSN_beta_win,params_FB_VRSN_trade_freq,params_FB_VRSN_z_entry,params_FB_VRSN_z_exit,params_FB_VRSN_z_win,params_MSFT_VRSN_beta_win,params_MSFT_VRSN_trade_freq,params_MSFT_VRSN_z_entry,params_MSFT_VRSN_z_exit,params_MSFT_VRSN_z_win,params_TSLA_AMAT_beta_win,params_TSLA_AMAT_trade_freq,params_TSLA_AMAT_z_entry,params_TSLA_AMAT_z_exit,params_TSLA_AMAT_z_win,params_TSLA_JD_beta_win,params_TSLA_JD_trade_freq,params_TSLA_JD_z_entry,params_TSLA_JD_z_exit,params_TSLA_JD_z_win,params_pairs_to_trade,state
0,0,1.8457823481485733,2025-05-29 23:42:25.216347,2025-05-29 23:42:25.715833,0 days 00:00:00.499486,990.0,24m,2.6,-1.9,690.0,,,,,,,,,,,,,,,,,,,,,400,22m,0.2,-1.0999999999999996,640,,,,,,,,,,,550,21m,1.8,-1.1999999999999997,780,250.0,35m,0.8,-2.5,20.0,2,COMPLETE
1,1,,2025-05-29 23:42:25.715833,2025-05-29 23:42:26.300356,0 days 00:00:00.584523,240.0,21m,2.7,-2.0999999999999996,630.0,,,,,,480.0,39m,2.8000000000000003,-2.9,540.0,,,,,,,,,,,510,35m,3.0,-3.1,530,790.0,13m,1.5,-1.1999999999999997,720.0,,,,,,380,17m,2.2,-0.5,90,770.0,16m,1.3,-3.1,250.0,3,FAIL
2,2,0.7358944845069905,2025-05-29 23:42:26.316053,2025-05-29 23:42:27.060056,0 days 00:00:00.744003,920.0,5m,0.7000000000000001,-2.6,190.0,110.0,17m,0.4,-0.09999999999999964,570.0,870.0,24m,2.9000000000000004,-3.0,10.0,,,,,,620.0,59m,0.6000000000000001,-1.7999999999999998,430.0,390,41m,0.1,-1.0999999999999996,220,420.0,19m,2.6,-1.9,530.0,,,,,,830,49m,3.3000000000000003,-1.5,300,470.0,3m,0.6000000000000001,-0.3999999999999999,960.0,4,COMPLETE
3,3,-0.7731580897903283,2025-05-29 23:42:27.060056,2025-05-29 23:42:27.362300,0 days 00:00:00.302244,,,,,,,,,,,,,,,,,,,,,,,,,,900,43m,3.0,-1.4,170,,,,,,,,,,,140,12m,1.0,-2.8,740,,,,,,1,COMPLETE
4,4,-1.6026664620530502,2025-05-29 23:42:27.367518,2025-05-29 23:42:27.806852,0 days 00:00:00.439334,140.0,40m,1.6,-3.0,490.0,,,,,,,,,,,,,,,,,,,,,870,29m,1.6,-0.2999999999999998,570,,,,,,,,,,,410,9m,2.8000000000000003,-2.2,20,920.0,42m,2.7,-0.7999999999999998,250.0,2,COMPLETE
5,5,2.2599979769288754,2025-05-29 23:42:27.806852,2025-05-29 23:42:28.709676,0 days 00:00:00.902824,700.0,42m,3.4000000000000004,-2.0,100.0,30.0,58m,1.2000000000000002,-1.5999999999999999,290.0,430.0,14m,2.2,-0.3999999999999999,640.0,680.0,51m,1.9000000000000001,-3.3,300.0,930.0,7m,1.7000000000000002,-1.7999999999999998,700.0,680,42m,0.1,-1.0,540,280.0,37m,2.2,-0.2999999999999998,610.0,70.0,19m,0.1,-1.4,570.0,460,28m,1.5,-3.5,520,140.0,46m,3.4000000000000004,-2.3,540.0,5,COMPLETE
6,6,,2025-05-29 23:42:28.709676,2025-05-29 23:42:28.995003,0 days 00:00:00.285327,,,,,,,,,,,,,,,,,,,,,,,,,,800,25m,1.7000000000000002,0.0,840,,,,,,,,,,,680,39m,0.6000000000000001,-1.7,970,,,,,,1,FAIL
7,7,0.692570815270091,2025-05-29 23:42:29.010761,2025-05-29 23:42:29.611510,0 days 00:00:00.600749,800.0,51m,2.0,-2.0999999999999996,930.0,,,,,,550.0,19m,2.9000000000000004,-2.5,250.0,,,,,,,,,,,920,23m,1.3,-0.8999999999999999,10,800.0,12m,1.1,-1.5,270.0,,,,,,40,29m,3.3000000000000003,-0.3999999999999999,270,930.0,12m,0.9,-3.2,860.0,3,COMPLETE
8,8,0.4626233291664885,2025-05-29 23:42:29.611510,2025-05-29 23:42:30.054288,0 days 00:00:00.442778,330.0,1m,2.5,0.0,790.0,,,,,,,,,,,,,,,,,,,,,60,47m,2.5,-0.6999999999999997,40,,,,,,,,,,,760,31m,3.0,-0.8999999999999999,600,960.0,48m,2.0,-0.2999999999999998,590.0,2,COMPLETE
9,9,,2025-05-29 23:42:30.054288,2025-05-29 23:42:30.500543,0 days 00:00:00.446255,960.0,37m,3.0,-1.4,360.0,,,,,,,,,,,,,,,,,,,,,670,51m,2.4000000000000004,0.0,460,,,,,,,,,,,950,51m,2.7,-0.7999999999999998,180,270.0,22m,2.5,-2.7,650.0,2,FAIL
