,number,value,datetime_start,datetime_complete,duration,params_AAL_MAR_beta_win,params_AAL_MAR_trade_freq,params_AAL_MAR_z_entry,params_AAL_MAR_z_exit,params_AAL_MAR_z_win,params_ADSK_CSX_beta_win,params_ADSK_CSX_trade_freq,params_ADSK_CSX_z_entry,params_ADSK_CSX_z_exit,params_ADSK_CSX_z_win,params_ALGN_MAR_beta_win,params_ALGN_MAR_trade_freq,params_ALGN_MAR_z_entry,params_ALGN_MAR_z_exit,params_ALGN_MAR_z_win,params_AMGN_NTAP_beta_win,params_AMGN_NTAP_trade_freq,params_AMGN_NTAP_z_entry,params_AMGN_NTAP_z_exit,params_AMGN_NTAP_z_win,params_BIDU_INCY_beta_win,params_BIDU_INCY_trade_freq,params_BIDU_INCY_z_entry,params_BIDU_INCY_z_exit,params_BIDU_INCY_z_win,params_INTU_MNST_beta_win,params_INTU_MNST_trade_freq,params_INTU_MNST_z_entry,params_INTU_MNST_z_exit,params_INTU_MNST_z_win,params_SBUX_EA_beta_win,params_SBUX_EA_trade_freq,params_SBUX_EA_z_entry,params_SBUX_EA_z_exit,params_SBUX_EA_z_win,params_UAL_ALGN_beta_win,params_UAL_ALGN_trade_freq,params_UAL_ALGN_z_entry,params_UAL_ALGN_z_exit,params_UAL_ALGN_z_win,params_UAL_MAR_beta_win,params_UAL_MAR_trade_freq,params_UAL_MAR_z_entry,params_UAL_MAR_z_exit,params_UAL_MAR_z_win,params_WDC_MAR_beta_win,params_WDC_MAR_trade_freq,params_WDC_MAR_z_entry,params_WDC_MAR_z_exit,params_WDC_MAR_z_win,params_pairs_to_trade,state
0,0,-1.5653201716534786,2025-05-29 23:45:10.406344,2025-05-29 23:45:10.880531,0 days 00:00:00.474187,,,,,,,,,,,250.0,35m,0.8,-2.5,20.0,400,22m,0.2,-1.0999999999999996,640,,,,,,990.0,24m,2.6,-1.9,690.0,,,,,,550,21m,1.8,-1.1999999999999997,780,,,,,,,,,,,2,COMPLETE
1,1,-2.85775918145943,2025-05-29 23:45:10.896706,2025-05-29 23:45:11.486523,0 days 00:00:00.589817,,,,,,790.0,13m,1.5,-1.1999999999999997,720.0,770.0,16m,1.3,-3.1,250.0,510,35m,3.0,-3.1,530,,,,,,240.0,21m,2.7,-2.0999999999999996,630.0,,,,,,380,17m,2.2,-0.5,90,480.0,39m,2.8000000000000003,-2.9,540.0,,,,,,3,COMPLETE
2,2,0.12481469913616765,2025-05-29 23:45:11.502620,2025-05-29 23:45:12.271535,0 days 00:00:00.768915,110.0,17m,0.4,-0.09999999999999964,570.0,420.0,19m,2.6,-1.9,530.0,470.0,3m,0.6000000000000001,-0.3999999999999999,960.0,390,41m,0.1,-1.0999999999999996,220,,,,,,920.0,5m,0.7000000000000001,-2.6,190.0,620.0,59m,0.6000000000000001,-1.7999999999999998,430.0,830,49m,3.3000000000000003,-1.5,300,870.0,24m,2.9000000000000004,-3.0,10.0,,,,,,4,COMPLETE
3,3,0.31753108461946833,2025-05-29 23:45:12.271535,2025-05-29 23:45:12.562315,0 days 00:00:00.290780,,,,,,,,,,,,,,,,900,43m,3.0,-1.4,170,,,,,,,,,,,,,,,,140,12m,1.0,-2.8,740,,,,,,,,,,,1,COMPLETE
4,4,-1.6135360685709577,2025-05-29 23:45:12.562315,2025-05-29 23:45:12.992618,0 days 00:00:00.430303,,,,,,,,,,,920.0,42m,2.7,-0.7999999999999998,250.0,870,29m,1.6,-0.2999999999999998,570,,,,,,140.0,40m,1.6,-3.0,490.0,,,,,,410,9m,2.8000000000000003,-2.2,20,,,,,,,,,,,2,COMPLETE
5,5,1.061428423183798,2025-05-29 23:45:13.008518,2025-05-29 23:45:13.917807,0 days 00:00:00.909289,30.0,58m,1.2000000000000002,-1.5999999999999999,290.0,280.0,37m,2.2,-0.2999999999999998,610.0,140.0,46m,3.4000000000000004,-2.3,540.0,680,42m,0.1,-1.0,540,70.0,19m,0.1,-1.4,570.0,700.0,42m,3.4000000000000004,-2.0,100.0,930.0,7m,1.7000000000000002,-1.7999999999999998,700.0,460,28m,1.5,-3.5,520,430.0,14m,2.2,-0.3999999999999999,640.0,680.0,51m,1.9000000000000001,-3.3,300.0,5,COMPLETE
6,6,,2025-05-29 23:45:13.917807,2025-05-29 23:45:14.207856,0 days 00:00:00.290049,,,,,,,,,,,,,,,,800,25m,1.7000000000000002,0.0,840,,,,,,,,,,,,,,,,680,39m,0.6000000000000001,-1.7,970,,,,,,,,,,,1,FAIL
7,7,-2.2844009918677566,2025-05-29 23:45:14.207856,2025-05-29 23:45:14.813018,0 days 00:00:00.605162,,,,,,800.0,12m,1.1,-1.5,270.0,930.0,12m,0.9,-3.2,860.0,920,23m,1.3,-0.8999999999999999,10,,,,,,800.0,51m,2.0,-2.0999999999999996,930.0,,,,,,40,29m,3.3000000000000003,-0.3999999999999999,270,550.0,19m,2.9000000000000004,-2.5,250.0,,,,,,3,COMPLETE
8,8,-1.8877608897056468,2025-05-29 23:45:14.813018,2025-05-29 23:45:15.260643,0 days 00:00:00.447625,,,,,,,,,,,960.0,48m,2.0,-0.2999999999999998,590.0,60,47m,2.5,-0.6999999999999997,40,,,,,,330.0,1m,2.5,0.0,790.0,,,,,,760,31m,3.0,-0.8999999999999999,600,,,,,,,,,,,2,COMPLETE
9,9,,2025-05-29 23:45:15.276704,2025-05-29 23:45:15.711748,0 days 00:00:00.435044,,,,,,,,,,,270.0,22m,2.5,-2.7,650.0,670,51m,2.4000000000000004,0.0,460,,,,,,960.0,37m,3.0,-1.4,360.0,,,,,,950,51m,2.7,-0.7999999999999998,180,,,,,,,,,,,2,FAIL
