,number,value,datetime_start,datetime_complete,duration,params_ALGN_CTAS_beta_win,params_ALGN_CTAS_trade_freq,params_ALGN_CTAS_z_entry,params_ALGN_CTAS_z_exit,params_ALGN_CTAS_z_win,params_BKNG_FOXA_beta_win,params_BKNG_FOXA_trade_freq,params_BKNG_FOXA_z_entry,params_BKNG_FOXA_z_exit,params_BKNG_FOXA_z_win,params_BKNG_FOX_beta_win,params_BKNG_FOX_trade_freq,params_BKNG_FOX_z_entry,params_BKNG_FOX_z_exit,params_BKNG_FOX_z_win,params_CDNS_ANSS_beta_win,params_CDNS_ANSS_trade_freq,params_CDNS_ANSS_z_entry,params_CDNS_ANSS_z_exit,params_CDNS_ANSS_z_win,params_CSX_NTAP_beta_win,params_CSX_NTAP_trade_freq,params_CSX_NTAP_z_entry,params_CSX_NTAP_z_exit,params_CSX_NTAP_z_win,params_ISRG_PCAR_beta_win,params_ISRG_PCAR_trade_freq,params_ISRG_PCAR_z_entry,params_ISRG_PCAR_z_exit,params_ISRG_PCAR_z_win,params_LULU_ALGN_beta_win,params_LULU_ALGN_trade_freq,params_LULU_ALGN_z_entry,params_LULU_ALGN_z_exit,params_LULU_ALGN_z_win,params_MAR_FOXA_beta_win,params_MAR_FOXA_trade_freq,params_MAR_FOXA_z_entry,params_MAR_FOXA_z_exit,params_MAR_FOXA_z_win,params_MAR_FOX_beta_win,params_MAR_FOX_trade_freq,params_MAR_FOX_z_entry,params_MAR_FOX_z_exit,params_MAR_FOX_z_win,params_MCHP_ALGN_beta_win,params_MCHP_ALGN_trade_freq,params_MCHP_ALGN_z_entry,params_MCHP_ALGN_z_exit,params_MCHP_ALGN_z_win,params_PYPL_MELI_beta_win,params_PYPL_MELI_trade_freq,params_PYPL_MELI_z_entry,params_PYPL_MELI_z_exit,params_PYPL_MELI_z_win,params_SWKS_CTAS_beta_win,params_SWKS_CTAS_trade_freq,params_SWKS_CTAS_z_entry,params_SWKS_CTAS_z_exit,params_SWKS_CTAS_z_win,params_TMUS_NTES_beta_win,params_TMUS_NTES_trade_freq,params_TMUS_NTES_z_entry,params_TMUS_NTES_z_exit,params_TMUS_NTES_z_win,params_ULTA_ROST_beta_win,params_ULTA_ROST_trade_freq,params_ULTA_ROST_z_entry,params_ULTA_ROST_z_exit,params_ULTA_ROST_z_win,params_WBA_XEL_beta_win,params_WBA_XEL_trade_freq,params_WBA_XEL_z_entry,params_WBA_XEL_z_exit,params_WBA_XEL_z_win,params_pairs_to_trade,state
0,0,0.7759580974397744,2025-05-29 23:48:49.170283,2025-05-29 23:48:49.864083,0 days 00:00:00.693800,250.0,35m,0.8,-2.5,20.0,360.0,22m,2.2,-0.7999999999999998,240.0,,,,,,990.0,24m,2.6,-1.9,690.0,,,,,,,,,,,,,,,,470,36m,1.8,-0.5,510,,,,,,,,,,,550,21m,1.8,-1.1999999999999997,780,,,,,,,,,,,,,,,,400,22m,0.2,-1.0999999999999996,640,2,COMPLETE
1,1,0.676252329861082,2025-05-29 23:48:49.874330,2025-05-29 23:48:50.546330,0 days 00:00:00.672000,480.0,39m,2.8000000000000003,-2.9,540.0,220.0,6m,0.6000000000000001,-2.8,920.0,,,,,,380.0,17m,2.2,-0.5,90.0,,,,,,,,,,,,,,,,680,42m,0.7000000000000001,-3.4,390,,,,,,,,,,,770,16m,1.3,-3.1,250,,,,,,,,,,,,,,,,790,13m,1.5,-1.1999999999999997,720,2,COMPLETE
2,2,1.7973438112877451,2025-05-29 23:48:50.551003,2025-05-29 23:48:50.947868,0 days 00:00:00.396865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,49m,3.3000000000000003,-1.5,300,,,,,,,,,,,620,59m,0.6000000000000001,-1.7999999999999998,430,,,,,,,,,,,,,,,,420,19m,2.6,-1.9,530,1,COMPLETE
3,3,0.0591769427490553,2025-05-29 23:48:50.952185,2025-05-29 23:48:51.844194,0 days 00:00:00.892009,140.0,12m,1.0,-2.8,740.0,40.0,10m,0.0,-0.6999999999999997,410.0,,,,,,10.0,23m,0.5,-1.0999999999999996,820.0,570.0,16m,3.4000000000000004,-3.2,120.0,,,,,,,,,,,720,41m,1.7000000000000002,-1.9,140,460.0,43m,0.8,-0.7999999999999998,920.0,400.0,30m,2.0,-1.9,870.0,900,43m,3.0,-1.4,170,,,,,,,,,,,,,,,,960,2m,3.1,-0.09999999999999964,190,3,COMPLETE
4,4,-1.3787245042486904,2025-05-29 23:48:51.849945,2025-05-29 23:48:53.265112,0 days 00:00:01.415167,720.0,47m,1.9000000000000001,-0.09999999999999964,140.0,770.0,41m,2.4000000000000004,-0.09999999999999964,870.0,870.0,54m,2.2,-0.6999999999999997,330.0,580.0,43m,0.30000000000000004,-0.09999999999999964,700.0,470.0,38m,2.1,-1.2999999999999998,280.0,380.0,20m,2.0,-3.4,70.0,410.0,52m,1.0,-1.5999999999999999,680.0,920,27m,2.8000000000000003,-0.5,130,280.0,26m,1.6,-0.2999999999999998,480.0,860.0,15m,2.2,-1.2999999999999998,430.0,790,29m,1.8,-2.0,460,40.0,59m,1.0,-2.3,30.0,250.0,8m,2.4000000000000004,-1.7999999999999998,930.0,370.0,15m,2.7,-0.6999999999999997,400.0,830,43m,1.9000000000000001,-3.4,680,5,COMPLETE
5,5,0.8387287091685313,2025-05-29 23:48:53.269484,2025-05-29 23:48:54.439880,0 days 00:00:01.170396,180.0,34m,1.9000000000000001,-0.7999999999999998,110.0,860.0,55m,2.7,-2.0999999999999996,250.0,50.0,11m,1.8,-1.5999999999999999,230.0,260.0,14m,3.3000000000000003,-0.5,900.0,10.0,21m,1.9000000000000001,-2.7,330.0,,,,,,,,,,,970,41m,2.0,-2.4,540,840.0,26m,0.7000000000000001,-0.2999999999999998,730.0,80.0,51m,0.1,-0.09999999999999964,530.0,480,4m,0.9,-2.4,930,370.0,4m,1.5,-2.5,600.0,570.0,50m,1.1,-3.4,40.0,,,,,,410,31m,0.1,-2.6,140,4,COMPLETE
6,6,0.22211825688828646,2025-05-29 23:48:54.450371,2025-05-29 23:48:55.118322,0 days 00:00:00.667951,720.0,44m,1.0,-1.0,20.0,430.0,30m,0.9,-1.0,470.0,,,,,,170.0,42m,0.0,-3.4,530.0,,,,,,,,,,,,,,,,750,35m,2.9000000000000004,-1.5999999999999999,110,,,,,,,,,,,860,21m,3.2,-2.8,140,,,,,,,,,,,,,,,,260,55m,0.2,-2.7,930,2,COMPLETE
7,7,-1.9850470592600438,2025-05-29 23:48:55.124326,2025-05-29 23:48:56.532028,0 days 00:00:01.407702,940.0,28m,0.1,-1.0,200.0,920.0,54m,1.6,-1.7999999999999998,440.0,240.0,10m,0.30000000000000004,-1.2999999999999998,30.0,970.0,40m,2.7,-1.0,200.0,410.0,56m,0.4,-2.5,30.0,890.0,51m,2.3000000000000003,-3.3,840.0,560.0,7m,3.3000000000000003,-3.2,670.0,510,54m,1.3,-1.4,800,430.0,47m,2.5,-2.7,800.0,750.0,22m,1.2000000000000002,-2.6,10.0,640,29m,2.6,-1.5999999999999999,1000,890.0,23m,1.0,-1.7999999999999998,640.0,290.0,22m,0.30000000000000004,-1.5999999999999999,740.0,800.0,23m,0.2,-3.3,950.0,550,53m,1.0,-1.5,770,5,COMPLETE
8,8,1.3884944618377295,2025-05-29 23:48:56.542510,2025-05-29 23:48:57.440037,0 days 00:00:00.897527,830.0,34m,1.1,-1.7,950.0,530.0,41m,2.8000000000000003,-0.6999999999999997,70.0,,,,,,1000.0,44m,3.0,-1.5999999999999999,580.0,60.0,58m,0.6000000000000001,-2.9,810.0,,,,,,,,,,,680,15m,0.4,-2.3,240,910.0,24m,1.1,-0.6999999999999997,640.0,840.0,8m,1.8,-0.5999999999999996,580.0,800,9m,0.30000000000000004,-1.2999999999999998,450,,,,,,,,,,,,,,,,840,37m,2.1,-0.09999999999999964,720,3,COMPLETE
9,9,-2.581924319459121,2025-05-29 23:48:57.450535,2025-05-29 23:48:58.364608,0 days 00:00:00.914073,260.0,27m,0.1,-0.3999999999999999,330.0,980.0,5m,2.6,-2.4,730.0,,,,,,690.0,31m,2.5,-1.2999999999999998,120.0,670.0,33m,0.2,-1.0,290.0,,,,,,,,,,,50,59m,1.3,-0.8999999999999999,150,110.0,30m,3.0,-2.9,570.0,310.0,24m,3.0,-2.0999999999999996,80.0,970,30m,1.5,-0.09999999999999964,510,,,,,,,,,,,,,,,,810,11m,2.0,-1.1999999999999997,20,3,COMPLETE
