,number,value,datetime_start,datetime_complete,duration,params_AAPL_TSLA_beta_win,params_AAPL_TSLA_trade_freq,params_AAPL_TSLA_z_entry,params_AAPL_TSLA_z_exit,params_AAPL_TSLA_z_win,params_AMAT_DXCM_beta_win,params_AMAT_DXCM_trade_freq,params_AMAT_DXCM_z_entry,params_AMAT_DXCM_z_exit,params_AMAT_DXCM_z_win,params_INTC_AMGN_beta_win,params_INTC_AMGN_trade_freq,params_INTC_AMGN_z_entry,params_INTC_AMGN_z_exit,params_INTC_AMGN_z_win,params_TTWO_AMGN_beta_win,params_TTWO_AMGN_trade_freq,params_TTWO_AMGN_z_entry,params_TTWO_AMGN_z_exit,params_TTWO_AMGN_z_win,params_VRTX_AMGN_beta_win,params_VRTX_AMGN_trade_freq,params_VRTX_AMGN_z_entry,params_VRTX_AMGN_z_exit,params_VRTX_AMGN_z_win,params_XEL_AMGN_beta_win,params_XEL_AMGN_trade_freq,params_XEL_AMGN_z_entry,params_XEL_AMGN_z_exit,params_XEL_AMGN_z_win,params_pairs_to_trade,state
0,0,-2.1128151789129115,2025-05-29 23:51:42.628784,2025-05-29 23:51:43.048066,0 days 00:00:00.419282,550,21m,1.8,-1.1999999999999997,780,,,,,,400,22m,0.2,-1.0999999999999996,640,990.0,24m,2.6,-1.9,690.0,,,,,,,,,,,2,COMPLETE
1,1,1.0042833967420004,2025-05-29 23:51:43.048066,2025-05-29 23:51:43.448237,0 days 00:00:00.400171,240,21m,2.7,-2.0999999999999996,630,,,,,,20,34m,1.0,-1.5,230,510.0,35m,3.0,-3.1,530.0,,,,,,,,,,,2,COMPLETE
2,2,1.2464968081844012,2025-05-29 23:51:43.464272,2025-05-29 23:51:44.040149,0 days 00:00:00.575877,390,41m,0.1,-1.0999999999999996,220,250.0,15m,0.4,-2.6,380.0,720,12m,2.3000000000000003,-2.3,430,90.0,16m,3.0,-1.5999999999999999,620.0,540.0,38m,0.6000000000000001,-1.7999999999999998,810.0,,,,,,4,COMPLETE
3,3,2.433687711492637,2025-05-29 23:51:44.040149,2025-05-29 23:51:44.712589,0 days 00:00:00.672440,10,23m,0.5,-1.0999999999999996,820,430.0,58m,1.7000000000000002,0.0,190.0,190,4m,0.9,-3.4,210,530.0,18m,1.6,-3.3,740.0,300.0,48m,2.0,-1.0,920.0,960.0,2m,3.1,-0.09999999999999964,190.0,5,COMPLETE
4,4,0.5845412041522385,2025-05-29 23:51:44.720047,2025-05-29 23:51:45.192337,0 days 00:00:00.472290,870,29m,1.6,-0.2999999999999998,570,740.0,11m,0.7000000000000001,-0.5999999999999996,290.0,120,15m,0.30000000000000004,-2.8,970,170.0,42m,2.1,-3.1,850.0,,,,,,,,,,,3,COMPLETE
5,5,0.22702413820390455,2025-05-29 23:51:45.192337,2025-05-29 23:51:45.522586,0 days 00:00:00.330249,20,8m,1.3,-2.7,790,,,,,,490,39m,0.5,-1.0,460,,,,,,,,,,,,,,,,1,COMPLETE
6,6,,2025-05-29 23:51:45.522586,2025-05-29 23:51:45.924171,0 days 00:00:00.401585,100,41m,1.5,-1.4,970,,,,,,760,40m,0.2,-1.9,770,540.0,41m,2.5,-0.5999999999999996,50.0,,,,,,,,,,,2,FAIL
7,7,2.0981920824699065,2025-05-29 23:51:45.930361,2025-05-29 23:51:46.487656,0 days 00:00:00.557295,960,44m,0.4,-1.7999999999999998,340,40.0,17m,1.7000000000000002,-3.0,590.0,620,35m,2.1,-3.1,910,490.0,5m,2.8000000000000003,-0.6999999999999997,490.0,440.0,26m,3.2,-0.7999999999999998,10.0,,,,,,4,COMPLETE
8,8,-2.4118509066782625,2025-05-29 23:51:46.487656,2025-05-29 23:51:47.063831,0 days 00:00:00.576175,200,37m,2.8000000000000003,-0.5999999999999996,510,70.0,48m,3.1,-0.2999999999999998,210.0,890,11m,1.6,-3.2,180,550.0,55m,1.3,-1.0,900.0,500.0,23m,0.30000000000000004,-2.3,980.0,,,,,,4,COMPLETE
9,9,,2025-05-29 23:51:47.063831,2025-05-29 23:51:47.384645,0 days 00:00:00.320814,580,49m,0.2,-1.0999999999999996,400,,,,,,380,21m,0.9,-0.19999999999999973,750,,,,,,,,,,,,,,,,1,FAIL
10,10,0.5498434649648134,2025-05-29 23:51:47.384645,2025-05-29 23:51:47.784614,0 days 00:00:00.399969,110,9m,1.8,-0.5999999999999996,380,,,,,,580,9m,0.5,-0.3999999999999999,510,890.0,26m,0.7000000000000001,-0.09999999999999964,970.0,,,,,,,,,,,2,COMPLETE
11,11,2.8798653236066736,2025-05-29 23:51:47.784614,2025-05-29 23:51:48.181812,0 days 00:00:00.397198,980,18m,0.6000000000000001,-2.0,990,,,,,,150,15m,1.4000000000000001,-1.7999999999999998,580,800.0,44m,1.9000000000000001,-1.5,410.0,,,,,,,,,,,2,COMPLETE
12,12,,2025-05-29 23:51:48.197659,2025-05-29 23:51:48.568399,0 days 00:00:00.370740,720,18m,1.0,-3.4,980,,,,,,290,20m,3.2,-2.0999999999999996,730,,,,,,,,,,,,,,,,1,FAIL
13,13,,2025-05-29 23:51:48.568399,2025-05-29 23:51:48.953715,0 days 00:00:00.385316,720,18m,1.0,-3.2,980,,,,,,330,28m,3.5,-2.2,720,,,,,,,,,,,,,,,,1,FAIL
14,14,2.154394445578935,2025-05-29 23:51:48.953715,2025-05-29 23:51:49.333142,0 days 00:00:00.379427,780,10m,3.5,-3.5,960,,,,,,280,6m,3.2,-2.0,740,,,,,,,,,,,,,,,,1,COMPLETE
15,15,-2.9770921383906734,2025-05-29 23:51:49.335808,2025-05-29 23:51:50.201079,0 days 00:00:00.865271,650,23m,0.7000000000000001,-2.2,1000,510.0,58m,2.4000000000000004,-1.4,910.0,230,4m,1.2000000000000002,-3.5,30,740.0,44m,1.5,-2.2,170.0,20.0,48m,2.2,0.0,460.0,1000.0,57m,3.3000000000000003,-0.19999999999999973,200.0,5,COMPLETE
16,16,-0.39215620270753,2025-05-29 23:51:50.205464,2025-05-29 23:51:51.081534,0 days 00:00:00.876070,380,39m,0.9,-1.1999999999999997,810,970.0,58m,1.5,-1.5999999999999999,10.0,280,29m,1.2000000000000002,-2.5,230,710.0,21m,0.0,-3.5,260.0,900.0,46m,1.8,-3.4,600.0,750.0,36m,2.5,-3.2,70.0,5,COMPLETE
17,17,-0.7691741753313811,2025-05-29 23:51:51.081534,2025-05-29 23:51:51.714006,0 days 00:00:00.632472,700,56m,0.0,-2.5,880,440.0,27m,3.4000000000000004,0.0,630.0,10,13m,2.7,-0.19999999999999973,670,350.0,18m,2.1,-2.5,350.0,,,,,,,,,,,3,COMPLETE
