,number,value,datetime_start,datetime_complete,duration,params_AAPL_CERN_beta_win,params_AAPL_CERN_trade_freq,params_AAPL_CERN_z_entry,params_AAPL_CERN_z_exit,params_AAPL_CERN_z_win,params_CDNS_CERN_beta_win,params_CDNS_CERN_trade_freq,params_CDNS_CERN_z_entry,params_CDNS_CERN_z_exit,params_CDNS_CERN_z_win,params_PDD_BIIB_beta_win,params_PDD_BIIB_trade_freq,params_PDD_BIIB_z_entry,params_PDD_BIIB_z_exit,params_PDD_BIIB_z_win,params_QCOM_BIIB_beta_win,params_QCOM_BIIB_trade_freq,params_QCOM_BIIB_z_entry,params_QCOM_BIIB_z_exit,params_QCOM_BIIB_z_win,params_QCOM_WBA_beta_win,params_QCOM_WBA_trade_freq,params_QCOM_WBA_z_entry,params_QCOM_WBA_z_exit,params_QCOM_WBA_z_win,params_pairs_to_trade,state
0,0,-3.885425908027685,2025-05-29 23:54:07.340458,2025-05-29 23:54:07.746362,0 days 00:00:00.405904,,,,,,990.0,24m,2.6,-1.9,690.0,400,22m,0.2,-1.0999999999999996,640,,,,,,,,,,,2,COMPLETE
1,1,1.9913474036214998,2025-05-29 23:54:07.752863,2025-05-29 23:54:08.191347,0 days 00:00:00.438484,510.0,35m,3.0,-3.1,530.0,20.0,34m,1.0,-1.5,230.0,780,20m,2.3000000000000003,-0.7999999999999998,510,,,,,,,,,,,3,COMPLETE
2,2,-1.9822904007135673,2025-05-29 23:54:08.201798,2025-05-29 23:54:08.557758,0 days 00:00:00.355960,,,,,,720.0,12m,2.3000000000000003,-2.3,430.0,630,20m,1.4000000000000001,-3.5,780,,,,,,,,,,,2,COMPLETE
3,3,,2025-05-29 23:54:08.564274,2025-05-29 23:54:08.811058,0 days 00:00:00.246784,,,,,,,,,,,620,15m,1.9000000000000001,-1.5,840,,,,,,,,,,,1,FAIL
4,4,1.2113761857823682,2025-05-29 23:54:08.814440,2025-05-29 23:54:09.180382,0 days 00:00:00.365942,,,,,,180.0,36m,2.9000000000000004,-2.9,480.0,140,13m,2.5,-0.3999999999999999,260,,,,,,,,,,,2,COMPLETE
5,5,,2025-05-29 23:54:09.180382,2025-05-29 23:54:09.434736,0 days 00:00:00.254354,,,,,,,,,,,680,38m,0.4,-2.0999999999999996,440,,,,,,,,,,,1,FAIL
6,6,0.6129557689768628,2025-05-29 23:54:09.440941,2025-05-29 23:54:09.828749,0 days 00:00:00.387808,,,,,,60.0,15m,2.6,-3.1,120.0,60,1m,2.5,-3.5,900,,,,,,,,,,,2,COMPLETE
7,7,1.104246166162267,2025-05-29 23:54:09.828749,2025-05-29 23:54:10.480326,0 days 00:00:00.651577,550.0,19m,1.3,-1.7999999999999998,980.0,580.0,44m,2.9000000000000004,-2.9,640.0,770,54m,2.6,-1.5999999999999999,180,730.0,58m,1.1,-3.4,220.0,210.0,12m,3.0,-0.5,160.0,5,COMPLETE
8,8,2.768121023504817,2025-05-29 23:54:10.484389,2025-05-29 23:54:10.712915,0 days 00:00:00.228526,,,,,,,,,,,150,38m,1.2000000000000002,-2.9,390,,,,,,,,,,,1,COMPLETE
9,9,-1.5727732778800876,2025-05-29 23:54:10.712915,2025-05-29 23:54:11.076721,0 days 00:00:00.363806,,,,,,500.0,24m,1.5,-3.2,720.0,80,6m,3.2,-2.0999999999999996,800,,,,,,,,,,,2,COMPLETE
10,10,-6.2248182141334,2025-05-29 23:54:11.076721,2025-05-29 23:54:11.723476,0 days 00:00:00.646755,660.0,36m,1.6,-3.4,890.0,20.0,3m,1.3,-0.2999999999999998,70.0,410,34m,1.4000000000000001,-1.5999999999999999,990,370.0,37m,2.1,-1.7999999999999998,540.0,500.0,37m,1.8,-0.3999999999999999,640.0,5,COMPLETE
11,11,,2025-05-29 23:54:11.730487,2025-05-29 23:54:11.967020,0 days 00:00:00.236533,,,,,,,,,,,520,31m,0.30000000000000004,-0.6999999999999997,800,,,,,,,,,,,1,FAIL
12,12,-0.7920892202007723,2025-05-29 23:54:11.977692,2025-05-29 23:54:12.547904,0 days 00:00:00.570212,90.0,21m,1.0,-3.2,880.0,160.0,12m,2.0,-3.0,660.0,120,37m,2.3000000000000003,-0.09999999999999964,330,110.0,39m,0.5,-1.0,700.0,,,,,,4,COMPLETE
13,13,,2025-05-29 23:54:12.556449,2025-05-29 23:54:12.872954,0 days 00:00:00.316505,,,,,,,,,,,970,43m,0.4,-2.7,10,,,,,,,,,,,1,FAIL
