,number,value,datetime_start,datetime_complete,duration,params_ADBE_VRSN_beta_win,params_ADBE_VRSN_trade_freq,params_ADBE_VRSN_z_entry,params_ADBE_VRSN_z_exit,params_ADBE_VRSN_z_win,params_ADSK_VRSN_beta_win,params_ADSK_VRSN_trade_freq,params_ADSK_VRSN_z_entry,params_ADSK_VRSN_z_exit,params_ADSK_VRSN_z_win,params_ANSS_VRSN_beta_win,params_ANSS_VRSN_trade_freq,params_ANSS_VRSN_z_entry,params_ANSS_VRSN_z_exit,params_ANSS_VRSN_z_win,params_ASML_BIIB_beta_win,params_ASML_BIIB_trade_freq,params_ASML_BIIB_z_entry,params_ASML_BIIB_z_exit,params_ASML_BIIB_z_win,params_BIIB_KLAC_beta_win,params_BIIB_KLAC_trade_freq,params_BIIB_KLAC_z_entry,params_BIIB_KLAC_z_exit,params_BIIB_KLAC_z_win,params_COST_VRSN_beta_win,params_COST_VRSN_trade_freq,params_COST_VRSN_z_entry,params_COST_VRSN_z_exit,params_COST_VRSN_z_win,params_EBAY_BIIB_beta_win,params_EBAY_BIIB_trade_freq,params_EBAY_BIIB_z_entry,params_EBAY_BIIB_z_exit,params_EBAY_BIIB_z_win,params_GOOGL_GOOG_beta_win,params_GOOGL_GOOG_trade_freq,params_GOOGL_GOOG_z_entry,params_GOOGL_GOOG_z_exit,params_GOOGL_GOOG_z_win,params_LRCX_BIIB_beta_win,params_LRCX_BIIB_trade_freq,params_LRCX_BIIB_z_entry,params_LRCX_BIIB_z_exit,params_LRCX_BIIB_z_win,params_PDD_TEAM_beta_win,params_PDD_TEAM_trade_freq,params_PDD_TEAM_z_entry,params_PDD_TEAM_z_exit,params_PDD_TEAM_z_win,params_PTON_SGEN_beta_win,params_PTON_SGEN_trade_freq,params_PTON_SGEN_z_entry,params_PTON_SGEN_z_exit,params_PTON_SGEN_z_win,params_PTON_TSLA_beta_win,params_PTON_TSLA_trade_freq,params_PTON_TSLA_z_entry,params_PTON_TSLA_z_exit,params_PTON_TSLA_z_win,params_SNPS_VRSN_beta_win,params_SNPS_VRSN_trade_freq,params_SNPS_VRSN_z_entry,params_SNPS_VRSN_z_exit,params_SNPS_VRSN_z_win,params_TSLA_AMD_beta_win,params_TSLA_AMD_trade_freq,params_TSLA_AMD_z_entry,params_TSLA_AMD_z_exit,params_TSLA_AMD_z_win,params_TSLA_XLNX_beta_win,params_TSLA_XLNX_trade_freq,params_TSLA_XLNX_z_entry,params_TSLA_XLNX_z_exit,params_TSLA_XLNX_z_win,params_pairs_to_trade,state
0,0,4.276477495691151,2025-05-29 23:55:55.259576,2025-05-29 23:55:56.074260,0 days 00:00:00.814684,,,,,,,,,,,,,,,,360.0,22m,2.2,-0.7999999999999998,240.0,,,,,,250.0,35m,0.8,-2.5,20.0,,,,,,470,36m,1.8,-0.5,510,,,,,,990.0,24m,2.6,-1.9,690.0,,,,,,400,22m,0.2,-1.0999999999999996,640,550,21m,1.8,-1.1999999999999997,780,,,,,,,,,,,2,COMPLETE
1,1,2.7890318282607502,2025-05-29 23:55:56.078824,2025-05-29 23:55:56.793442,0 days 00:00:00.714618,,,,,,,,,,,,,,,,220.0,6m,0.6000000000000001,-2.8,920.0,,,,,,480.0,39m,2.8000000000000003,-2.9,540.0,,,,,,680,42m,0.7000000000000001,-3.4,390,,,,,,380.0,17m,2.2,-0.5,90.0,,,,,,790,13m,1.5,-1.1999999999999997,720,770,16m,1.3,-3.1,250,,,,,,,,,,,2,COMPLETE
2,2,,2025-05-29 23:55:56.800340,2025-05-29 23:55:57.207779,0 days 00:00:00.407439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,830,49m,3.3000000000000003,-1.5,300,,,,,,,,,,,,,,,,420,19m,2.6,-1.9,530,620,59m,0.6000000000000001,-1.7999999999999998,430,,,,,,,,,,,1,FAIL
3,3,3.0161133729193583,2025-05-29 23:55:57.215900,2025-05-29 23:55:58.181996,0 days 00:00:00.966096,400.0,30m,2.0,-1.9,870.0,,,,,,,,,,,40.0,10m,0.0,-0.6999999999999997,410.0,,,,,,140.0,12m,1.0,-2.8,740.0,,,,,,720,41m,1.7000000000000002,-1.9,140,460.0,43m,0.8,-0.7999999999999998,920.0,10.0,23m,0.5,-1.0999999999999996,820.0,570.0,16m,3.4000000000000004,-3.2,120.0,960,2m,3.1,-0.09999999999999964,190,900,43m,3.0,-1.4,170,,,,,,,,,,,3,COMPLETE
4,4,-0.4787067818493901,2025-05-29 23:55:58.188188,2025-05-29 23:55:59.752253,0 days 00:00:01.564065,860.0,15m,2.2,-1.2999999999999998,430.0,410.0,52m,1.0,-1.5999999999999999,680.0,40.0,59m,1.0,-2.3,30.0,770.0,41m,2.4000000000000004,-0.09999999999999964,870.0,370.0,15m,2.7,-0.6999999999999997,400.0,720.0,47m,1.9000000000000001,-0.09999999999999964,140.0,870.0,54m,2.2,-0.6999999999999997,330.0,920,27m,2.8000000000000003,-0.5,130,280.0,26m,1.6,-0.2999999999999998,480.0,580.0,43m,0.30000000000000004,-0.09999999999999964,700.0,470.0,38m,2.1,-1.2999999999999998,280.0,830,43m,1.9000000000000001,-3.4,680,790,29m,1.8,-2.0,460,380.0,20m,2.0,-3.4,70.0,250.0,8m,2.4000000000000004,-1.7999999999999998,930.0,5,COMPLETE
5,5,-1.6748609992141053,2025-05-29 23:55:59.757660,2025-05-29 23:56:01.050257,0 days 00:00:01.292597,80.0,51m,0.1,-0.09999999999999964,530.0,,,,,,370.0,4m,1.5,-2.5,600.0,860.0,55m,2.7,-2.0999999999999996,250.0,,,,,,180.0,34m,1.9000000000000001,-0.7999999999999998,110.0,50.0,11m,1.8,-1.5999999999999999,230.0,970,41m,2.0,-2.4,540,840.0,26m,0.7000000000000001,-0.2999999999999998,730.0,260.0,14m,3.3000000000000003,-0.5,900.0,10.0,21m,1.9000000000000001,-2.7,330.0,410,31m,0.1,-2.6,140,480,4m,0.9,-2.4,930,,,,,,570.0,50m,1.1,-3.4,40.0,4,COMPLETE
6,6,,2025-05-29 23:56:01.061635,2025-05-29 23:56:01.771501,0 days 00:00:00.709866,,,,,,,,,,,,,,,,430.0,30m,0.9,-1.0,470.0,,,,,,720.0,44m,1.0,-1.0,20.0,,,,,,750,35m,2.9000000000000004,-1.5999999999999999,110,,,,,,170.0,42m,0.0,-3.4,530.0,,,,,,260,55m,0.2,-2.7,930,860,21m,3.2,-2.8,140,,,,,,,,,,,2,FAIL
7,7,-0.769729775337488,2025-05-29 23:56:01.780918,2025-05-29 23:56:03.352958,0 days 00:00:01.572040,750.0,22m,1.2000000000000002,-2.6,10.0,560.0,7m,3.3000000000000003,-3.2,670.0,890.0,23m,1.0,-1.7999999999999998,640.0,920.0,54m,1.6,-1.7999999999999998,440.0,800.0,23m,0.2,-3.3,950.0,940.0,28m,0.1,-1.0,200.0,240.0,10m,0.30000000000000004,-1.2999999999999998,30.0,510,54m,1.3,-1.4,800,430.0,47m,2.5,-2.7,800.0,970.0,40m,2.7,-1.0,200.0,410.0,56m,0.4,-2.5,30.0,550,53m,1.0,-1.5,770,640,29m,2.6,-1.5999999999999999,1000,890.0,51m,2.3000000000000003,-3.3,840.0,290.0,22m,0.30000000000000004,-1.5999999999999999,740.0,5,COMPLETE
8,8,-1.3698033234875204,2025-05-29 23:56:03.367474,2025-05-29 23:56:04.390698,0 days 00:00:01.023224,840.0,8m,1.8,-0.5999999999999996,580.0,,,,,,,,,,,530.0,41m,2.8000000000000003,-0.6999999999999997,70.0,,,,,,830.0,34m,1.1,-1.7,950.0,,,,,,680,15m,0.4,-2.3,240,910.0,24m,1.1,-0.6999999999999997,640.0,1000.0,44m,3.0,-1.5999999999999999,580.0,60.0,58m,0.6000000000000001,-2.9,810.0,840,37m,2.1,-0.09999999999999964,720,800,9m,0.30000000000000004,-1.2999999999999998,450,,,,,,,,,,,3,COMPLETE
9,9,-1.636017477708194,2025-05-29 23:56:04.401202,2025-05-29 23:56:05.374352,0 days 00:00:00.973150,310.0,24m,3.0,-2.0999999999999996,80.0,,,,,,,,,,,980.0,5m,2.6,-2.4,730.0,,,,,,260.0,27m,0.1,-0.3999999999999999,330.0,,,,,,50,59m,1.3,-0.8999999999999999,150,110.0,30m,3.0,-2.9,570.0,690.0,31m,2.5,-1.2999999999999998,120.0,670.0,33m,0.2,-1.0,290.0,810,11m,2.0,-1.1999999999999997,20,970,30m,1.5,-0.09999999999999964,510,,,,,,,,,,,3,COMPLETE
10,10,0.5125291905349294,2025-05-29 23:56:05.384576,2025-05-29 23:56:06.100490,0 days 00:00:00.715914,,,,,,,,,,,,,,,,180.0,43m,2.4000000000000004,-0.09999999999999964,120.0,,,,,,490.0,53m,1.7000000000000002,-0.7999999999999998,890.0,,,,,,650,39m,1.8,-3.2,640,,,,,,20.0,45m,2.6,-0.5999999999999996,90.0,,,,,,260,22m,0.0,-3.5,550,550,22m,0.30000000000000004,-3.3,910,,,,,,,,,,,2,COMPLETE
11,11,0.6983245724860011,2025-05-29 23:56:06.111152,2025-05-29 23:56:06.580555,0 days 00:00:00.469403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,18m,1.8,-0.6999999999999997,830,,,,,,,,,,,,,,,,600,1m,3.3000000000000003,-0.09999999999999964,860,60,5m,2.5,0.0,470,,,,,,,,,,,1,COMPLETE
12,12,-1.2549353556846379,2025-05-29 23:56:06.588171,2025-05-29 23:56:07.111567,0 days 00:00:00.523396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,20m,3.0,0.0,1000,,,,,,,,,,,,,,,,80,22m,0.8,-2.3,390,250,21m,3.4000000000000004,-0.7999999999999998,720,,,,,,,,,,,1,COMPLETE
13,13,3.841113133388183,2025-05-29 23:56:07.119903,2025-05-29 23:56:07.979621,0 days 00:00:00.859718,,,,,,,,,,,,,,,,10.0,10m,0.0,-1.0999999999999996,410.0,,,,,,80.0,35m,0.9,-3.0,640.0,,,,,,460,41m,2.5,-1.9,380,,,,,,100.0,23m,1.0,-2.7,940.0,,,,,,980,42m,3.4000000000000004,-0.6999999999999997,290,1000,43m,3.5,-0.8999999999999999,30,,,,,,,,,,,2,COMPLETE
14,14,0.5713657961987585,2025-05-29 23:56:07.986395,2025-05-29 23:56:08.843028,0 days 00:00:00.856633,,,,,,,,,,,,,,,,430.0,52m,1.6,-1.0999999999999996,300.0,,,,,,40.0,35m,0.8,-3.5,590.0,,,,,,370,40m,2.5,-1.4,350,,,,,,230.0,24m,1.3,-2.7,1000.0,,,,,,360,15m,2.6,-0.7999999999999998,400,360,38m,2.1,-0.6999999999999997,700,,,,,,,,,,,2,COMPLETE
15,15,-1.8357908104537322,2025-05-29 23:56:08.846721,2025-05-29 23:56:09.727805,0 days 00:00:00.881084,,,,,,,,,,,,,,,,410.0,27m,1.0,-1.2999999999999998,660.0,,,,,,350.0,35m,0.6000000000000001,-2.4,360.0,,,,,,480,36m,3.3000000000000003,-2.7,500,,,,,,790.0,24m,1.4000000000000001,-2.4,410.0,,,,,,170,42m,2.7,-0.7999999999999998,490,60,23m,3.5,-0.6999999999999997,80,,,,,,,,,,,2,COMPLETE
16,16,,2025-05-29 23:56:09.727805,2025-05-29 23:56:10.242967,0 days 00:00:00.515162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,35m,2.4000000000000004,-1.7,340,,,,,,,,,,,,,,,,630,35m,0.7000000000000001,-2.0999999999999996,270,260,41m,1.0,-2.3,740,,,,,,,,,,,1,FAIL
17,17,-0.5398673282376891,2025-05-29 23:56:10.248313,2025-05-29 23:56:10.769482,0 days 00:00:00.521169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,52m,2.4000000000000004,-1.4,380,,,,,,,,,,,,,,,,650,5m,0.7000000000000001,-2.0999999999999996,990,260,41m,1.0,-2.2,710,,,,,,,,,,,1,COMPLETE
18,18,1.1993325238769892,2025-05-29 23:56:10.769482,2025-05-29 23:56:12.367263,0 days 00:00:01.597781,50.0,31m,3.5,-3.4,1000.0,,,,,,860.0,28m,3.4000000000000004,0.0,910.0,30.0,22m,3.4000000000000004,-3.3,590.0,,,,,,40.0,58m,1.4000000000000001,-2.0999999999999996,720.0,950.0,35m,3.5,-3.4,830.0,530,3m,3.5,0.0,20,660.0,22m,0.1,-1.7999999999999998,10.0,440.0,19m,1.0,-3.4,720.0,960.0,55m,3.5,-0.09999999999999964,950.0,420,9m,3.5,-0.6999999999999997,260,610,11m,2.6,-1.0999999999999996,20,,,,,,990.0,21m,3.3000000000000003,-0.09999999999999964,180.0,4,COMPLETE
19,19,2.672625372572113,2025-05-29 23:56:12.376270,2025-05-29 23:56:13.317192,0 days 00:00:00.940922,,,,,,,,,,,,,,,,580.0,2m,1.0,-1.2999999999999998,260.0,,,,,,330.0,3m,2.6,-3.4,20.0,,,,,,190,2m,2.3000000000000003,-1.7,610,,,,,,820.0,38m,1.9000000000000001,-2.2,450.0,,,,,,1000,34m,2.5,-1.7,580,990,57m,2.1,-0.3999999999999999,310,,,,,,,,,,,2,COMPLETE
20,20,-0.018423740197186296,2025-05-29 23:56:13.325676,2025-05-29 23:56:15.011807,0 days 00:00:01.686131,600.0,39m,0.0,-3.4,280.0,,,,,,420.0,6m,3.1,-3.4,30.0,280.0,29m,1.9000000000000001,-0.6999999999999997,480.0,,,,,,650.0,37m,0.5,-1.7,400.0,510.0,14m,0.2,-3.2,980.0,400,35m,1.2000000000000002,-1.0999999999999996,470,50.0,21m,3.4000000000000004,-1.7,240.0,190.0,54m,0.8,-3.1,990.0,1000.0,44m,1.2000000000000002,-0.19999999999999973,630.0,280,12m,1.4000000000000001,-0.5999999999999996,340,430,25m,0.0,-2.7,820,,,,,,10.0,16m,3.5,0.0,480.0,4,COMPLETE
21,21,-2.4331822096555533,2025-05-29 23:56:15.019900,2025-05-29 23:56:15.558152,0 days 00:00:00.538252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,780,49m,0.0,-2.0999999999999996,730,,,,,,,,,,,,,,,,660,3m,0.5,-1.1999999999999997,480,730,3m,3.1,-1.7999999999999998,600,,,,,,,,,,,1,COMPLETE
22,22,-0.3314059480667899,2025-05-29 23:56:15.566422,2025-05-29 23:56:16.429509,0 days 00:00:00.863087,,,,,,,,,,,,,,,,320.0,26m,0.4,-1.5999999999999999,10.0,,,,,,160.0,48m,1.4000000000000001,-2.8,650.0,,,,,,580,38m,2.8000000000000003,-2.7,290,,,,,,570.0,13m,0.0,-2.0,630.0,,,,,,20,48m,1.2000000000000002,-0.5,10,230,53m,0.8,-1.0999999999999996,340,,,,,,,,,,,2,COMPLETE
