,number,value,datetime_start,datetime_complete,duration,params_AMAT_LRCX_beta_win,params_AMAT_LRCX_trade_freq,params_AMAT_LRCX_z_entry,params_AMAT_LRCX_z_exit,params_AMAT_LRCX_z_win,params_ASML_GOOGL_beta_win,params_ASML_GOOGL_trade_freq,params_ASML_GOOGL_z_entry,params_ASML_GOOGL_z_exit,params_ASML_GOOGL_z_win,params_COST_MAR_beta_win,params_COST_MAR_trade_freq,params_COST_MAR_z_entry,params_COST_MAR_z_exit,params_COST_MAR_z_win,params_FISV_TMUS_beta_win,params_FISV_TMUS_trade_freq,params_FISV_TMUS_z_entry,params_FISV_TMUS_z_exit,params_FISV_TMUS_z_win,params_OKTA_CDW_beta_win,params_OKTA_CDW_trade_freq,params_OKTA_CDW_z_entry,params_OKTA_CDW_z_exit,params_OKTA_CDW_z_win,params_pairs_to_trade,state
0,0,-1.7035568768147058,2025-05-30 00:00:12.787658,2025-05-30 00:00:13.051244,0 days 00:00:00.263586,,,,,,990.0,24m,2.6,-1.9,690.0,,,,,,400,22m,0.2,-1.0999999999999996,640,,,,,,2,COMPLETE
1,1,-1.7121937249054562,2025-05-30 00:00:13.053251,2025-05-30 00:00:13.339129,0 days 00:00:00.285878,510.0,35m,3.0,-3.1,530.0,20.0,34m,1.0,-1.5,230.0,,,,,,780,20m,2.3000000000000003,-0.7999999999999998,510,,,,,,3,COMPLETE
2,2,-1.8840514398942176,2025-05-30 00:00:13.341357,2025-05-30 00:00:13.525893,0 days 00:00:00.184536,,,,,,720.0,12m,2.3000000000000003,-2.3,430.0,,,,,,630,20m,1.4000000000000001,-3.5,780,,,,,,2,COMPLETE
3,3,-1.2724136149926217,2025-05-30 00:00:13.525893,2025-05-30 00:00:13.654094,0 days 00:00:00.128201,,,,,,,,,,,,,,,,620,15m,1.9000000000000001,-1.5,840,,,,,,1,COMPLETE
4,4,2.6959585424763257,2025-05-30 00:00:13.658324,2025-05-30 00:00:13.839550,0 days 00:00:00.181226,,,,,,180.0,36m,2.9000000000000004,-2.9,480.0,,,,,,140,13m,2.5,-0.3999999999999999,260,,,,,,2,COMPLETE
5,5,,2025-05-30 00:00:13.839550,2025-05-30 00:00:13.983769,0 days 00:00:00.144219,,,,,,,,,,,,,,,,680,38m,0.4,-2.0999999999999996,440,,,,,,1,FAIL
6,6,-1.340398004709396,2025-05-30 00:00:13.986005,2025-05-30 00:00:14.222090,0 days 00:00:00.236085,,,,,,60.0,15m,2.6,-3.1,120.0,,,,,,60,1m,2.5,-3.5,900,,,,,,2,COMPLETE
7,7,-2.676739926653435,2025-05-30 00:00:14.224156,2025-05-30 00:00:14.660626,0 days 00:00:00.436470,550.0,19m,1.3,-1.7999999999999998,980.0,580.0,44m,2.9000000000000004,-2.9,640.0,210.0,12m,3.0,-0.5,160.0,770,54m,2.6,-1.5999999999999999,180,730.0,58m,1.1,-3.4,220.0,5,COMPLETE
8,8,-0.7741040038558604,2025-05-30 00:00:14.663833,2025-05-30 00:00:14.815309,0 days 00:00:00.151476,,,,,,,,,,,,,,,,150,38m,1.2000000000000002,-2.9,390,,,,,,1,COMPLETE
9,9,2.389975793452455,2025-05-30 00:00:14.821401,2025-05-30 00:00:15.063853,0 days 00:00:00.242452,,,,,,500.0,24m,1.5,-3.2,720.0,,,,,,80,6m,3.2,-2.0999999999999996,800,,,,,,2,COMPLETE
10,10,-5.840251981709271,2025-05-30 00:00:15.064247,2025-05-30 00:00:15.518373,0 days 00:00:00.454126,660.0,36m,1.6,-3.4,890.0,20.0,3m,1.3,-0.2999999999999998,70.0,500.0,37m,1.8,-0.3999999999999999,640.0,410,34m,1.4000000000000001,-1.5999999999999999,990,370.0,37m,2.1,-1.7999999999999998,540.0,5,COMPLETE
11,11,-3.4669926364765633,2025-05-30 00:00:15.520281,2025-05-30 00:00:15.899929,0 days 00:00:00.379648,30.0,20m,0.2,0.0,10.0,310.0,2m,0.2,-1.0,980.0,,,,,,970,13m,3.4000000000000004,-0.09999999999999964,10,60.0,24m,3.4000000000000004,0.0,960.0,4,COMPLETE
12,12,0.8838200263723663,2025-05-30 00:00:15.903587,2025-05-30 00:00:16.219350,0 days 00:00:00.315763,1000.0,10m,3.3000000000000003,-0.09999999999999964,60.0,390.0,36m,3.4000000000000004,-3.5,840.0,,,,,,190,13m,3.4000000000000004,-2.5,290,,,,,,3,COMPLETE
13,13,-0.9110998321641826,2025-05-30 00:00:16.221350,2025-05-30 00:00:16.433488,0 days 00:00:00.212138,,,,,,270.0,17m,1.7000000000000002,-2.6,440.0,,,,,,270,55m,3.0,-2.3,600,,,,,,2,COMPLETE
14,14,-2.175247178932587,2025-05-30 00:00:16.433488,2025-05-30 00:00:16.596428,0 days 00:00:00.162940,,,,,,,,,,,,,,,,10,6m,3.0,0.0,110,,,,,,1,COMPLETE
15,15,-2.3112081219015184,2025-05-30 00:00:16.598426,2025-05-30 00:00:16.894670,0 days 00:00:00.296244,40.0,31m,0.30000000000000004,-1.5,430.0,640.0,24m,2.0,-3.4,600.0,,,,,,300,27m,2.2,-0.6999999999999997,320,,,,,,3,COMPLETE
16,16,0.36676207208187633,2025-05-30 00:00:16.896668,2025-05-30 00:00:17.249240,0 days 00:00:00.352572,990.0,38m,2.4000000000000004,-2.0999999999999996,590.0,850.0,53m,1.1,-2.4,330.0,,,,,,130,19m,2.9000000000000004,-2.0999999999999996,700,940.0,23m,0.30000000000000004,-0.19999999999999973,50.0,4,COMPLETE
17,17,-0.8772099190352093,2025-05-30 00:00:17.251239,2025-05-30 00:00:17.460276,0 days 00:00:00.209037,,,,,,440.0,31m,3.4000000000000004,-2.9,810.0,,,,,,290,16m,1.8,-2.9,480,,,,,,2,COMPLETE
18,18,-0.15534155934279048,2025-05-30 00:00:17.462274,2025-05-30 00:00:17.837597,0 days 00:00:00.375323,280.0,8m,0.9,-0.8999999999999999,260.0,190.0,57m,0.4,-1.9,540.0,,,,,,10,32m,3.5,-0.3999999999999999,220,360.0,55m,3.5,-3.5,980.0,4,COMPLETE
19,19,0.7884115062674435,2025-05-30 00:00:17.843214,2025-05-30 00:00:18.146854,0 days 00:00:00.303640,770.0,53m,2.2,-2.5,770.0,510.0,50m,1.7000000000000002,-1.0999999999999996,780.0,,,,,,450,18m,0.7000000000000001,-1.0999999999999996,430,,,,,,3,COMPLETE
20,20,,2025-05-30 00:00:18.149076,2025-05-30 00:00:18.309604,0 days 00:00:00.160528,,,,,,,,,,,,,,,,210,33m,2.8000000000000003,-2.0,750,,,,,,1,FAIL
21,21,,2025-05-30 00:00:18.311604,2025-05-30 00:00:18.463848,0 days 00:00:00.152244,,,,,,,,,,,,,,,,220,47m,2.8000000000000003,-2.0999999999999996,550,,,,,,1,FAIL
22,22,-0.2052064657174101,2025-05-30 00:00:18.466049,2025-05-30 00:00:18.615335,0 days 00:00:00.149286,,,,,,,,,,,,,,,,230,14m,2.8000000000000003,-2.0,550,,,,,,1,COMPLETE
23,23,,2025-05-30 00:00:18.619071,2025-05-30 00:00:18.838094,0 days 00:00:00.219023,,,,,,180.0,27m,0.7000000000000001,-3.2,960.0,,,,,,580,29m,2.1,-1.2999999999999998,740,,,,,,2,FAIL
