,number,value,datetime_start,datetime_complete,duration,params_AMZN_BIDU_beta_win,params_AMZN_BIDU_trade_freq,params_AMZN_BIDU_z_entry,params_AMZN_BIDU_z_exit,params_AMZN_BIDU_z_win,params_AMZN_PCAR_beta_win,params_AMZN_PCAR_trade_freq,params_AMZN_PCAR_z_entry,params_AMZN_PCAR_z_exit,params_AMZN_PCAR_z_win,params_MELI_WBA_beta_win,params_MELI_WBA_trade_freq,params_MELI_WBA_z_entry,params_MELI_WBA_z_exit,params_MELI_WBA_z_win,params_REGN_WBA_beta_win,params_REGN_WBA_trade_freq,params_REGN_WBA_z_entry,params_REGN_WBA_z_exit,params_REGN_WBA_z_win,params_SPLK_GOOG_beta_win,params_SPLK_GOOG_trade_freq,params_SPLK_GOOG_z_entry,params_SPLK_GOOG_z_exit,params_SPLK_GOOG_z_win,params_pairs_to_trade,state
0,0,,2025-05-30 00:01:24.554389,2025-05-30 00:01:24.797099,0 days 00:00:00.242710,,,,,,990.0,24m,2.6,-1.9,690.0,400,22m,0.2,-1.0999999999999996,640,,,,,,,,,,,2,FAIL
1,1,,2025-05-30 00:01:24.799099,2025-05-30 00:01:25.059942,0 days 00:00:00.260843,510.0,35m,3.0,-3.1,530.0,20.0,34m,1.0,-1.5,230.0,780,20m,2.3000000000000003,-0.7999999999999998,510,,,,,,,,,,,3,FAIL
2,2,,2025-05-30 00:01:25.062065,2025-05-30 00:01:25.263363,0 days 00:00:00.201298,,,,,,720.0,12m,2.3000000000000003,-2.3,430.0,630,20m,1.4000000000000001,-3.5,780,,,,,,,,,,,2,FAIL
3,3,,2025-05-30 00:01:25.265366,2025-05-30 00:01:25.403385,0 days 00:00:00.138019,,,,,,,,,,,620,15m,1.9000000000000001,-1.5,840,,,,,,,,,,,1,FAIL
4,4,,2025-05-30 00:01:25.405385,2025-05-30 00:01:25.612690,0 days 00:00:00.207305,,,,,,180.0,36m,2.9000000000000004,-2.9,480.0,140,13m,2.5,-0.3999999999999999,260,,,,,,,,,,,2,FAIL
5,5,,2025-05-30 00:01:25.614689,2025-05-30 00:01:25.760322,0 days 00:00:00.145633,,,,,,,,,,,680,38m,0.4,-2.0999999999999996,440,,,,,,,,,,,1,FAIL
6,6,,2025-05-30 00:01:25.761321,2025-05-30 00:01:25.961209,0 days 00:00:00.199888,,,,,,60.0,15m,2.6,-3.1,120.0,60,1m,2.5,-3.5,900,,,,,,,,,,,2,FAIL
7,7,-0.2842432667884068,2025-05-30 00:01:25.963207,2025-05-30 00:01:26.352553,0 days 00:00:00.389346,550.0,19m,1.3,-1.7999999999999998,980.0,580.0,44m,2.9000000000000004,-2.9,640.0,770,54m,2.6,-1.5999999999999999,180,210.0,12m,3.0,-0.5,160.0,730.0,58m,1.1,-3.4,220.0,5,COMPLETE
8,8,,2025-05-30 00:01:26.355557,2025-05-30 00:01:26.489493,0 days 00:00:00.133936,,,,,,,,,,,150,38m,1.2000000000000002,-2.9,390,,,,,,,,,,,1,FAIL
9,9,,2025-05-30 00:01:26.491489,2025-05-30 00:01:26.690820,0 days 00:00:00.199331,,,,,,500.0,24m,1.5,-3.2,720.0,80,6m,3.2,-2.0999999999999996,800,,,,,,,,,,,2,FAIL
10,10,-3.0391221977107414,2025-05-30 00:01:26.692823,2025-05-30 00:01:27.071124,0 days 00:00:00.378301,660.0,36m,1.6,-3.4,890.0,20.0,3m,1.3,-0.2999999999999998,70.0,410,34m,1.4000000000000001,-1.5999999999999999,990,500.0,37m,1.8,-0.3999999999999999,640.0,370.0,37m,2.1,-1.7999999999999998,540.0,5,COMPLETE
11,11,,2025-05-30 00:01:27.074124,2025-05-30 00:01:27.211823,0 days 00:00:00.137699,,,,,,,,,,,520,31m,0.30000000000000004,-0.6999999999999997,800,,,,,,,,,,,1,FAIL
12,12,,2025-05-30 00:01:27.213820,2025-05-30 00:01:27.520408,0 days 00:00:00.306588,90.0,21m,1.0,-3.2,880.0,160.0,12m,2.0,-3.0,660.0,120,37m,2.3000000000000003,-0.09999999999999964,330,,,,,,110.0,39m,0.5,-1.0,700.0,4,FAIL
13,13,,2025-05-30 00:01:27.523408,2025-05-30 00:01:27.653599,0 days 00:00:00.130191,,,,,,,,,,,240,6m,3.2,-0.5,370,,,,,,,,,,,1,FAIL
14,14,-2.461920811419593,2025-05-30 00:01:27.656702,2025-05-30 00:01:28.019318,0 days 00:00:00.362616,10.0,17m,1.6,-3.3,170.0,840.0,42m,3.5,-0.8999999999999999,860.0,450,49m,0.0,-0.3999999999999999,810,830.0,16m,2.8000000000000003,-1.0,800.0,660.0,31m,0.6000000000000001,-2.8,180.0,5,COMPLETE
15,15,,2025-05-30 00:01:28.021363,2025-05-30 00:01:28.158275,0 days 00:00:00.136912,,,,,,,,,,,80,43m,1.3,-1.5,900,,,,,,,,,,,1,FAIL
16,16,1.2077655097830973,2025-05-30 00:01:28.160274,2025-05-30 00:01:28.491715,0 days 00:00:00.331441,120.0,3m,2.6,-1.7,80.0,480.0,20m,0.1,-2.3,350.0,630,3m,0.6000000000000001,-1.7,670,,,,,,720.0,10m,0.30000000000000004,-1.0999999999999996,280.0,4,COMPLETE
17,17,,2025-05-30 00:01:28.493714,2025-05-30 00:01:28.828055,0 days 00:00:00.334341,590.0,22m,1.8,-1.9,160.0,20.0,12m,1.0,-1.7,490.0,410,38m,1.3,-1.7999999999999998,500,,,,,,330.0,55m,0.1,-2.7,390.0,4,FAIL
18,18,0.1024204329481125,2025-05-30 00:01:28.831085,2025-05-30 00:01:29.225894,0 days 00:00:00.394809,400.0,42m,0.2,-3.3,330.0,320.0,28m,0.30000000000000004,-2.3,940.0,460,42m,2.0,-0.2999999999999998,460,370.0,32m,2.6,-2.3,1000.0,190.0,13m,3.0,-0.2999999999999998,180.0,5,COMPLETE
19,19,-0.9162077732254322,2025-05-30 00:01:29.227893,2025-05-30 00:01:29.615281,0 days 00:00:00.387388,640.0,8m,1.6,0.0,210.0,940.0,29m,2.1,-0.09999999999999964,940.0,680,42m,2.3000000000000003,-1.5,770,890.0,22m,0.0,-2.5,270.0,420.0,31m,2.3000000000000003,-2.4,950.0,5,COMPLETE
20,20,,2025-05-30 00:01:29.618280,2025-05-30 00:01:29.753319,0 days 00:00:00.135039,,,,,,,,,,,530,16m,1.6,-0.6999999999999997,320,,,,,,,,,,,1,FAIL
21,21,,2025-05-30 00:01:29.755319,2025-05-30 00:01:30.016753,0 days 00:00:00.261434,740.0,50m,1.5,-2.4,900.0,540.0,26m,0.0,-1.9,720.0,630,39m,3.2,-0.7999999999999998,340,,,,,,,,,,,3,FAIL
22,22,0.21147490557090018,2025-05-30 00:01:30.019756,2025-05-30 00:01:30.368421,0 days 00:00:00.348665,830.0,58m,1.1,-2.2,370.0,310.0,46m,2.4000000000000004,-1.7,810.0,130,7m,2.7,-1.4,660,,,,,,350.0,13m,1.6,-3.1,760.0,4,COMPLETE
23,23,3.15161759453505,2025-05-30 00:01:30.369014,2025-05-30 00:01:30.564601,0 days 00:00:00.195587,,,,,,360.0,54m,1.9000000000000001,-3.0,30.0,750,6m,1.2000000000000002,-1.5,290,,,,,,,,,,,2,COMPLETE
