,number,value,datetime_start,datetime_complete,duration,params_ASML_WDAY_beta_win,params_ASML_WDAY_trade_freq,params_ASML_WDAY_z_entry,params_ASML_WDAY_z_exit,params_ASML_WDAY_z_win,params_DOCU_ISRG_beta_win,params_DOCU_ISRG_trade_freq,params_DOCU_ISRG_z_entry,params_DOCU_ISRG_z_exit,params_DOCU_ISRG_z_win,params_EA_KHC_beta_win,params_EA_KHC_trade_freq,params_EA_KHC_z_entry,params_EA_KHC_z_exit,params_EA_KHC_z_win,params_KHC_MELI_beta_win,params_KHC_MELI_trade_freq,params_KHC_MELI_z_entry,params_KHC_MELI_z_exit,params_KHC_MELI_z_win,params_MCHP_ISRG_beta_win,params_MCHP_ISRG_trade_freq,params_MCHP_ISRG_z_entry,params_MCHP_ISRG_z_exit,params_MCHP_ISRG_z_win,params_MRNA_ISRG_beta_win,params_MRNA_ISRG_trade_freq,params_MRNA_ISRG_z_entry,params_MRNA_ISRG_z_exit,params_MRNA_ISRG_z_win,params_MSFT_REGN_beta_win,params_MSFT_REGN_trade_freq,params_MSFT_REGN_z_entry,params_MSFT_REGN_z_exit,params_MSFT_REGN_z_win,params_PDD_ISRG_beta_win,params_PDD_ISRG_trade_freq,params_PDD_ISRG_z_entry,params_PDD_ISRG_z_exit,params_PDD_ISRG_z_win,params_PTON_ISRG_beta_win,params_PTON_ISRG_trade_freq,params_PTON_ISRG_z_entry,params_PTON_ISRG_z_exit,params_PTON_ISRG_z_win,params_REGN_CTAS_beta_win,params_REGN_CTAS_trade_freq,params_REGN_CTAS_z_entry,params_REGN_CTAS_z_exit,params_REGN_CTAS_z_win,params_pairs_to_trade,state
0,0,0.1402812146625054,2025-05-30 00:02:30.719909,2025-05-30 00:02:31.112154,0 days 00:00:00.392245,,,,,,550,21m,1.8,-1.1999999999999997,780,990.0,24m,2.6,-1.9,690.0,,,,,,,,,,,,,,,,400,22m,0.2,-1.0999999999999996,640,250.0,35m,0.8,-2.5,20.0,,,,,,,,,,,2,COMPLETE
1,1,3.6519126462878995,2025-05-30 00:02:31.114154,2025-05-30 00:02:31.617702,0 days 00:00:00.503548,,,,,,380,17m,2.2,-0.5,90,240.0,21m,2.7,-2.0999999999999996,630.0,,,,,,,,,,,,,,,,510,35m,3.0,-3.1,530,770.0,16m,1.3,-3.1,250.0,480.0,39m,2.8000000000000003,-2.9,540.0,790.0,13m,1.5,-1.1999999999999997,720.0,3,COMPLETE
2,2,1.6673262722757003,2025-05-30 00:02:31.620704,2025-05-30 00:02:32.203614,0 days 00:00:00.582910,,,,,,830,49m,3.3000000000000003,-1.5,300,920.0,5m,0.7000000000000001,-2.6,190.0,620.0,59m,0.6000000000000001,-1.7999999999999998,430.0,,,,,,110.0,17m,0.4,-0.09999999999999964,570.0,390,41m,0.1,-1.0999999999999996,220,470.0,3m,0.6000000000000001,-0.3999999999999999,960.0,870.0,24m,2.9000000000000004,-3.0,10.0,420.0,19m,2.6,-1.9,530.0,4,COMPLETE
3,3,0.9308423799872106,2025-05-30 00:02:32.206639,2025-05-30 00:02:32.404048,0 days 00:00:00.197409,,,,,,140,12m,1.0,-2.8,740,,,,,,,,,,,,,,,,,,,,,900,43m,3.0,-1.4,170,,,,,,,,,,,,,,,,1,COMPLETE
4,4,1.6020479154607792,2025-05-30 00:02:32.407561,2025-05-30 00:02:32.730489,0 days 00:00:00.322928,,,,,,410,9m,2.8000000000000003,-2.2,20,140.0,40m,1.6,-3.0,490.0,,,,,,,,,,,,,,,,870,29m,1.6,-0.2999999999999998,570,920.0,42m,2.7,-0.7999999999999998,250.0,,,,,,,,,,,2,COMPLETE
5,5,-0.40213856227309064,2025-05-30 00:02:32.733488,2025-05-30 00:02:33.427971,0 days 00:00:00.694483,70.0,19m,0.1,-1.4,570.0,460,28m,1.5,-3.5,520,700.0,42m,3.4000000000000004,-2.0,100.0,930.0,7m,1.7000000000000002,-1.7999999999999998,700.0,680.0,51m,1.9000000000000001,-3.3,300.0,30.0,58m,1.2000000000000002,-1.5999999999999999,290.0,680,42m,0.1,-1.0,540,140.0,46m,3.4000000000000004,-2.3,540.0,430.0,14m,2.2,-0.3999999999999999,640.0,280.0,37m,2.2,-0.2999999999999998,610.0,5,COMPLETE
6,6,,2025-05-30 00:02:33.431486,2025-05-30 00:02:33.621336,0 days 00:00:00.189850,,,,,,680,39m,0.6000000000000001,-1.7,970,,,,,,,,,,,,,,,,,,,,,800,25m,1.7000000000000002,0.0,840,,,,,,,,,,,,,,,,1,FAIL
7,7,0.024615293856050786,2025-05-30 00:02:33.625719,2025-05-30 00:02:34.080616,0 days 00:00:00.454897,,,,,,40,29m,3.3000000000000003,-0.3999999999999999,270,800.0,51m,2.0,-2.0999999999999996,930.0,,,,,,,,,,,,,,,,920,23m,1.3,-0.8999999999999999,10,930.0,12m,0.9,-3.2,860.0,550.0,19m,2.9000000000000004,-2.5,250.0,800.0,12m,1.1,-1.5,270.0,3,COMPLETE
8,8,-1.3492665799412076,2025-05-30 00:02:34.083618,2025-05-30 00:02:34.420618,0 days 00:00:00.337000,,,,,,760,31m,3.0,-0.8999999999999999,600,330.0,1m,2.5,0.0,790.0,,,,,,,,,,,,,,,,60,47m,2.5,-0.6999999999999997,40,960.0,48m,2.0,-0.2999999999999998,590.0,,,,,,,,,,,2,COMPLETE
9,9,,2025-05-30 00:02:34.422617,2025-05-30 00:02:34.735899,0 days 00:00:00.313282,,,,,,950,51m,2.7,-0.7999999999999998,180,960.0,37m,3.0,-1.4,360.0,,,,,,,,,,,,,,,,670,51m,2.4000000000000004,0.0,460,270.0,22m,2.5,-2.7,650.0,,,,,,,,,,,2,FAIL
10,10,0.1486130221085546,2025-05-30 00:02:34.740369,2025-05-30 00:02:35.433908,0 days 00:00:00.693539,210.0,40m,0.1,-1.7,180.0,870,31m,1.5,-0.3999999999999999,230,870.0,51m,2.5,-3.3,730.0,920.0,17m,1.2000000000000002,-1.5,770.0,290.0,53m,0.30000000000000004,-0.19999999999999973,380.0,720.0,37m,1.2000000000000002,-1.7999999999999998,150.0,980,6m,0.2,-3.4,40,10.0,26m,0.1,-0.7999999999999998,800.0,580.0,50m,1.5,-0.6999999999999997,860.0,50.0,38m,2.0,-1.5,230.0,5,COMPLETE
11,11,-3.513686994333795,2025-05-30 00:02:35.436411,2025-05-30 00:02:35.891763,0 days 00:00:00.455352,,,,,,130,24m,1.6,-0.6999999999999997,820,500.0,57m,0.6000000000000001,-3.0,700.0,,,,,,,,,,,,,,,,990,18m,2.2,-1.0,390,400.0,18m,2.2,-0.3999999999999999,620.0,280.0,19m,1.4000000000000001,-2.3,330.0,580.0,56m,2.7,-2.7,230.0,3,COMPLETE
12,12,1.695980560232623,2025-05-30 00:02:35.894765,2025-05-30 00:02:36.528821,0 days 00:00:00.634056,,,,,,320,44m,0.0,0.0,1000,20.0,21m,3.4000000000000004,-0.7999999999999998,430.0,60.0,24m,3.4000000000000004,-3.4,110.0,,,,,,940.0,23m,3.5,-3.4,980.0,140,35m,3.5,-2.7,910,660.0,16m,1.4000000000000001,-3.5,280.0,20.0,39m,0.30000000000000004,-1.2999999999999998,1000.0,880.0,13m,0.2,0.0,1000.0,4,COMPLETE
13,13,3.741203262469565,2025-05-30 00:02:36.530819,2025-05-30 00:02:37.170519,0 days 00:00:00.639700,,,,,,280,17m,0.30000000000000004,0.0,980,100.0,21m,3.5,-0.7999999999999998,410.0,40.0,19m,3.3000000000000003,-3.5,70.0,,,,,,980.0,23m,3.5,-3.5,990.0,130,35m,3.5,-2.8,970,680.0,16m,1.4000000000000001,-3.5,280.0,20.0,39m,0.1,-1.4,940.0,990.0,13m,0.0,0.0,940.0,4,COMPLETE
14,14,-4.053563521272494,2025-05-30 00:02:37.178154,2025-05-30 00:02:37.818940,0 days 00:00:00.640786,,,,,,290,17m,0.0,0.0,10,270.0,50m,3.5,-1.0999999999999996,320.0,30.0,19m,3.5,-3.3,20.0,,,,,,460.0,54m,3.5,-3.5,980.0,260,35m,3.3000000000000003,-2.3,980,700.0,16m,1.5,-2.8,300.0,20.0,39m,0.1,-3.4,670.0,990.0,23m,0.0,-0.7999999999999998,880.0,4,COMPLETE
15,15,-1.099843297159935,2025-05-30 00:02:37.826051,2025-05-30 00:02:38.472952,0 days 00:00:00.646901,,,,,,630,17m,0.8,-2.0999999999999996,990,320.0,21m,2.9000000000000004,-1.1999999999999997,550.0,370.0,19m,2.5,0.0,360.0,,,,,,930.0,23m,2.4000000000000004,-2.2,650.0,610,21m,2.8000000000000003,-3.4,770,690.0,56m,1.3,-1.7,70.0,920.0,18m,3.4000000000000004,-1.5999999999999999,550.0,710.0,53m,1.0,-0.7999999999999998,770.0,4,COMPLETE
16,16,0.13902989585290712,2025-05-30 00:02:38.477004,2025-05-30 00:02:38.972525,0 days 00:00:00.495521,,,,,,290,15m,2.3000000000000003,-1.0,400,20.0,6m,1.7000000000000002,-0.2999999999999998,340.0,,,,,,,,,,,,,,,,610,24m,2.2,-2.5,810,810.0,21m,2.5,-1.7999999999999998,400.0,250.0,39m,0.9,-2.0,820.0,980.0,13m,1.2000000000000002,-3.0,740.0,3,COMPLETE
17,17,-0.019137973665694277,2025-05-30 00:02:38.976029,2025-05-30 00:02:39.767718,0 days 00:00:00.791689,980.0,32m,3.5,-3.5,950.0,650,25m,2.3000000000000003,-0.5,160,190.0,32m,3.0,-1.4,580.0,360.0,48m,2.5,-2.5,250.0,990.0,48m,3.3000000000000003,-1.7999999999999998,980.0,470.0,12m,2.5,-2.6,790.0,310,51m,3.1,-2.9,410,570.0,25m,0.0,-3.5,160.0,670.0,28m,2.3000000000000003,-1.1999999999999997,330.0,690.0,13m,0.6000000000000001,-0.7999999999999998,980.0,5,COMPLETE
18,18,0.8976776759694286,2025-05-30 00:02:39.770471,2025-05-30 00:02:39.995813,0 days 00:00:00.225342,,,,,,180,8m,0.7000000000000001,-1.5999999999999999,640,,,,,,,,,,,,,,,,,,,,,460,32m,1.0,-2.0999999999999996,690,,,,,,,,,,,,,,,,1,COMPLETE
19,19,-0.6652607592336107,2025-05-30 00:02:39.995813,2025-05-30 00:02:40.678971,0 days 00:00:00.683158,,,,,,990,58m,2.2,0.0,390,500.0,55m,2.1,-0.5999999999999996,950.0,260.0,2m,2.6,-0.3999999999999999,970.0,,,,,,740.0,59m,2.6,-0.6999999999999997,330.0,200,3m,3.5,-3.0,380,800.0,19m,1.7000000000000002,-2.9,400.0,280.0,10m,0.8,-2.9,970.0,820.0,2m,3.5,-2.3,710.0,4,COMPLETE
20,20,1.0139917087166728,2025-05-30 00:02:40.681971,2025-05-30 00:02:41.207251,0 days 00:00:00.525280,,,,,,360,1m,0.4,-1.2999999999999998,860,410.0,23m,0.0,-2.4,290.0,,,,,,,,,,,,,,,,20,26m,2.6,-1.7999999999999998,860,550.0,49m,1.1,-2.0,400.0,790.0,30m,2.1,-0.7999999999999998,450.0,540.0,33m,1.6,-3.5,30.0,3,COMPLETE
21,21,2.73468225326532,2025-05-30 00:02:41.212870,2025-05-30 00:02:41.589547,0 days 00:00:00.376677,,,,,,530,18m,2.0,-2.0999999999999996,120,170.0,16m,3.1,-1.5,50.0,,,,,,,,,,,,,,,,750,30m,2.1,-3.5,1000,360.0,15m,0.4,-2.9,190.0,,,,,,,,,,,2,COMPLETE
22,22,-0.42569804910683146,2025-05-30 00:02:41.592547,2025-05-30 00:02:42.119249,0 days 00:00:00.526702,,,,,,240,55m,2.7,-0.2999999999999998,440,640.0,20m,1.2000000000000002,-0.7999999999999998,430.0,,,,,,,,,,,,,,,,530,52m,0.7000000000000001,-3.1,720,810.0,57m,1.9000000000000001,-1.1999999999999997,730.0,170.0,11m,3.5,-2.0,760.0,1000.0,18m,0.6000000000000001,-1.0999999999999996,850.0,3,COMPLETE
23,23,2.0279454219528064,2025-05-30 00:02:42.124637,2025-05-30 00:02:42.524009,0 days 00:00:00.399372,,,,,,530,17m,2.0,-2.3,120,150.0,21m,3.0,-1.5,110.0,,,,,,,,,,,,,,,,760,49m,2.0,-3.5,980,340.0,15m,0.4,-3.0,140.0,,,,,,,,,,,2,COMPLETE
24,24,1.651712624746043,2025-05-30 00:02:42.526513,2025-05-30 00:02:42.897260,0 days 00:00:00.370747,,,,,,430,30m,1.2000000000000002,-2.8,120,100.0,16m,3.2,-1.5999999999999999,60.0,,,,,,,,,,,,,,,,780,30m,2.9000000000000004,-3.2,1000,590.0,4m,0.30000000000000004,-2.6,180.0,,,,,,,,,,,2,COMPLETE
25,25,2.1112411251049408,2025-05-30 00:02:42.897260,2025-05-30 00:02:43.403431,0 days 00:00:00.506171,,,,,,620,18m,2.5,-1.9,210,250.0,13m,2.7,-2.4,210.0,,,,,,,,,,,,,,,,560,35m,2.5,-2.7,870,470.0,15m,1.0,-3.2,330.0,420.0,51m,2.7,-0.09999999999999964,70.0,690.0,22m,3.4000000000000004,-0.2999999999999998,410.0,3,COMPLETE
26,26,,2025-05-30 00:02:43.406805,2025-05-30 00:02:43.618989,0 days 00:00:00.212184,,,,,,20,45m,2.0,-2.6,330,,,,,,,,,,,,,,,,,,,,,790,54m,1.7000000000000002,-2.0,920,,,,,,,,,,,,,,,,1,FAIL
27,27,0.1935166535388819,2025-05-30 00:02:43.618989,2025-05-30 00:02:43.836583,0 days 00:00:00.217594,,,,,,20,4m,2.0,-2.6,330,,,,,,,,,,,,,,,,,,,,,760,48m,3.2,-2.0999999999999996,280,,,,,,,,,,,,,,,,1,COMPLETE
