date,time,PRICE_XLFsynprice_XLFsynprice_ON_XLF,PRICE_XLF_XLFsynprice_ON_XLF,BETA_XLFsynprice_ON_XLF,SPREAD_XLFsynprice_ON_XLF,Z_XLFsynprice_ON_XLF,Z_VOL_XLFsynprice_ON_XLF,market_close,SIGNAL_XLFsynprice_ON_XLF,POS_XLFsynprice_ON_XLF,POS_BETA_XLFsynprice_ON_XLF,PAIR_BASE_XLFsynprice_ON_XLF,PAIR_RET_XLFsynprice_ON_XLF,SL_XLFsynprice_ON_XLF,LOSS_XLFsynprice_ON_XLF,COOLDOWN_XLFsynprice_ON_XLF,CAPITAL_XLFsynprice_ON_XLF,REMAINING_CAPITAL,CAPITAL,PORT_RET
2023-02-10,14:30:00.000000000,161.77169122724735,36.26,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-02-10,14:31:00.000000000,161.79277407134518,36.255,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-02-10,14:32:00.000000000,161.87301624018494,36.22,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-02-10,14:33:00.000000000,161.82924154264492,36.25,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-02-10,14:34:00.000000000,161.83540217229387,36.23,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-02-10,14:35:00.000000000,161.87415910750482,36.24,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-02-10,14:36:00.000000000,161.71314602301814,36.2,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-02-10,14:37:00.000000000,161.67099132717692,36.17,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-02-10,14:38:00.000000000,161.60281948386015,36.17,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-02-10,14:39:00.000000000,161.5967115892134,36.15,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-02-10,14:40:00.000000000,161.5243480535905,36.15,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-02-10,14:41:00.000000000,161.43936920988097,36.115,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2023-02-10,14:42:00.000000000,161.40444728004317,36.09,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
