,number,value,datetime_start,datetime_complete,duration,params_DIAsynprice_DIA_beta_win,params_DIAsynprice_DIA_stop_loss,params_DIAsynprice_DIA_trade_freq,params_DIAsynprice_DIA_z_entry,params_DIAsynprice_DIA_z_exit,params_DIAsynprice_DIA_z_stop_scaler,params_DIAsynprice_DIA_z_win,params_QQQsynprice_QQQ_beta_win,params_QQQsynprice_QQQ_stop_loss,params_QQQsynprice_QQQ_trade_freq,params_QQQsynprice_QQQ_z_entry,params_QQQsynprice_QQQ_z_exit,params_QQQsynprice_QQQ_z_stop_scaler,params_QQQsynprice_QQQ_z_win,params_XLBsynprice_XLB_beta_win,params_XLBsynprice_XLB_stop_loss,params_XLBsynprice_XLB_trade_freq,params_XLBsynprice_XLB_z_entry,params_XLBsynprice_XLB_z_exit,params_XLBsynprice_XLB_z_stop_scaler,params_XLBsynprice_XLB_z_win,params_XLCsynprice_XLC_beta_win,params_XLCsynprice_XLC_stop_loss,params_XLCsynprice_XLC_trade_freq,params_XLCsynprice_XLC_z_entry,params_XLCsynprice_XLC_z_exit,params_XLCsynprice_XLC_z_stop_scaler,params_XLCsynprice_XLC_z_win,params_XLEsynprice_XLE_beta_win,params_XLEsynprice_XLE_stop_loss,params_XLEsynprice_XLE_trade_freq,params_XLEsynprice_XLE_z_entry,params_XLEsynprice_XLE_z_exit,params_XLEsynprice_XLE_z_stop_scaler,params_XLEsynprice_XLE_z_win,params_XLFsynprice_XLF_beta_win,params_XLFsynprice_XLF_stop_loss,params_XLFsynprice_XLF_trade_freq,params_XLFsynprice_XLF_z_entry,params_XLFsynprice_XLF_z_exit,params_XLFsynprice_XLF_z_stop_scaler,params_XLFsynprice_XLF_z_win,params_XLIsynprice_XLI_beta_win,params_XLIsynprice_XLI_stop_loss,params_XLIsynprice_XLI_trade_freq,params_XLIsynprice_XLI_z_entry,params_XLIsynprice_XLI_z_exit,params_XLIsynprice_XLI_z_stop_scaler,params_XLIsynprice_XLI_z_win,params_XLKsynprice_XLK_beta_win,params_XLKsynprice_XLK_stop_loss,params_XLKsynprice_XLK_trade_freq,params_XLKsynprice_XLK_z_entry,params_XLKsynprice_XLK_z_exit,params_XLKsynprice_XLK_z_stop_scaler,params_XLKsynprice_XLK_z_win,params_XLPsynprice_XLP_beta_win,params_XLPsynprice_XLP_stop_loss,params_XLPsynprice_XLP_trade_freq,params_XLPsynprice_XLP_z_entry,params_XLPsynprice_XLP_z_exit,params_XLPsynprice_XLP_z_stop_scaler,params_XLPsynprice_XLP_z_win,params_XLREsynprice_XLRE_beta_win,params_XLREsynprice_XLRE_stop_loss,params_XLREsynprice_XLRE_trade_freq,params_XLREsynprice_XLRE_z_entry,params_XLREsynprice_XLRE_z_exit,params_XLREsynprice_XLRE_z_stop_scaler,params_XLREsynprice_XLRE_z_win,params_XLUsynprice_XLU_beta_win,params_XLUsynprice_XLU_stop_loss,params_XLUsynprice_XLU_trade_freq,params_XLUsynprice_XLU_z_entry,params_XLUsynprice_XLU_z_exit,params_XLUsynprice_XLU_z_stop_scaler,params_XLUsynprice_XLU_z_win,params_XLVsynprice_XLV_beta_win,params_XLVsynprice_XLV_stop_loss,params_XLVsynprice_XLV_trade_freq,params_XLVsynprice_XLV_z_entry,params_XLVsynprice_XLV_z_exit,params_XLVsynprice_XLV_z_stop_scaler,params_XLVsynprice_XLV_z_win,params_XLYsynprice_XLY_beta_win,params_XLYsynprice_XLY_stop_loss,params_XLYsynprice_XLY_trade_freq,params_XLYsynprice_XLY_z_entry,params_XLYsynprice_XLY_z_exit,params_XLYsynprice_XLY_z_stop_scaler,params_XLYsynprice_XLY_z_win,params_buffer_capital,params_pairs_to_trade,state
0,0,-6.362239000628435,2025-06-21 01:32:58.426438,2025-06-21 01:32:59.074764,0 days 00:00:00.648326,,,,,,,,28.0,0.025,5m,0.9,0.7,1.5,36.0,54.0,0.0225,4m,0.6,0.5,1.5,28.0,,,,,,,,,,,,,,,12.0,0.0225,3m,0.7,0.6,2.5,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,3,COMPLETE
1,1,-8.881117246555739,2025-06-21 01:32:59.117515,2025-06-21 01:33:00.900690,0 days 00:00:01.783175,,,,,,,,,,,,,,,16.0,0.0325,4m,1.0,0.6,1.5,12.0,48.0,0.035,1m,0.7,1.0,3.0,48.0,28.0,0.02,2m,1.0,1.0,2.0,42.0,62.0,0.03,2m,0.8,0.8,2.0,52.0,18.0,0.04,3m,0.8,0.7,2.0,14.0,,,,,,,,38.0,0.0375,3m,0.6,0.9,3.0,38.0,52.0,0.0125,2m,0.6,0.8,2.5,10.0,14.0,0.0125,2m,0.9,1.0,3.0,60.0,54.0,0.027500000000000004,1m,1.0,0.8,2.5,38.0,,,,,,,,0.5,9,COMPLETE
2,2,-2.9392928930646196,2025-06-21 01:33:00.933846,2025-06-21 01:33:01.174678,0 days 00:00:00.240832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.015,2m,0.8,0.8,1.5,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1,COMPLETE
3,3,-10.427376945224196,2025-06-21 01:33:01.191884,2025-06-21 01:33:01.798248,0 days 00:00:00.606364,56.0,0.027500000000000004,4m,0.7,0.7,3.0,16.0,,,,,,,,,,,,,,,,,,,,,,50.0,0.045000000000000005,3m,0.6,0.5,1.5,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,0.0225,2m,1.0,0.6,3.0,52.0,0.35000000000000003,3,COMPLETE
4,4,-7.582337413941532,2025-06-21 01:33:01.816740,2025-06-21 01:33:03.755310,0 days 00:00:01.938570,12.0,0.05,3m,0.9,0.8,2.5,20.0,22.0,0.0325,3m,0.5,0.6,2.5,38.0,10.0,0.045000000000000005,5m,1.0,0.9,1.5,32.0,24.0,0.0325,2m,0.5,0.9,2.5,44.0,50.0,0.025,2m,0.6,1.0,3.0,48.0,56.0,0.015,3m,0.7,0.9,1.5,40.0,,,,,,,,24.0,0.02,2m,1.0,0.6,1.5,38.0,36.0,0.02,3m,1.0,0.8,2.5,46.0,,,,,,,,48.0,0.0475,2m,0.9,0.8,2.0,16.0,64.0,0.04,1m,0.7,0.6,3.0,44.0,,,,,,,,0.15000000000000002,10,COMPLETE
5,5,-28.924503214513066,2025-06-21 01:33:03.775350,2025-06-21 01:33:04.960465,0 days 00:00:01.185115,42.0,0.035,2m,0.8,0.6,2.5,34.0,16.0,0.02,5m,0.6,1.0,2.5,28.0,,,,,,,,,,,,,,,40.0,0.02,1m,0.7,0.7,2.5,42.0,24.0,0.04,2m,0.6,0.9,3.0,26.0,10.0,0.0475,5m,0.8,0.9,2.5,20.0,48.0,0.01,1m,0.8,0.6,1.5,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,6,COMPLETE
6,6,-2.1351209731830405,2025-06-21 01:33:04.979096,2025-06-21 01:33:05.621890,0 days 00:00:00.642794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,0.0425,2m,1.0,0.6,3.0,16.0,,,,,,,,,,,,,,,,,,,,,,32.0,0.027500000000000004,3m,0.6,0.6,2.5,40.0,,,,,,,,46.0,0.035,5m,0.9,0.5,1.5,30.0,0.25,3,COMPLETE
7,7,-24.70424087363378,2025-06-21 01:33:05.645912,2025-06-21 01:33:07.810633,0 days 00:00:02.164721,62.0,0.027500000000000004,1m,1.0,1.0,2.5,44.0,54.0,0.01,2m,0.8,0.7,3.0,16.0,,,,,,,,14.0,0.03,2m,0.9,0.5,2.0,56.0,50.0,0.0325,1m,0.8,0.9,1.5,22.0,50.0,0.05,4m,0.9,0.6,1.5,34.0,62.0,0.0375,2m,0.9,1.0,1.5,14.0,16.0,0.02,3m,0.8,0.8,3.0,56.0,,,,,,,,16.0,0.0175,5m,0.5,1.0,1.5,54.0,62.0,0.015,3m,0.5,0.7,3.0,12.0,26.0,0.0375,2m,0.8,0.6,1.5,18.0,,,,,,,,0.1,10,COMPLETE
8,8,-4.070388746671078,2025-06-21 01:33:07.832550,2025-06-21 01:33:08.483039,0 days 00:00:00.650489,,,,,,,,,,,,,,,,,,,,,,36.0,0.015,2m,0.7,0.8,3.0,46.0,,,,,,,,30.0,0.0125,3m,0.5,0.9,2.5,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,0.0375,3m,0.5,0.6,2.5,28.0,,,,,,,,0.05,3,COMPLETE
9,9,-70.41074770159291,2025-06-21 01:33:08.503072,2025-06-21 01:33:08.981036,0 days 00:00:00.477964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,0.0225,4m,0.5,0.7,2.0,48.0,,,,,,,,,,,,,,,20.0,0.04,1m,0.6,0.8,2.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,2,COMPLETE
10,10,-5.52371194780492,2025-06-21 01:33:09.001062,2025-06-21 01:33:10.349364,0 days 00:00:01.348302,10.0,0.01,5m,0.5,0.5,1.5,64.0,64.0,0.05,1m,1.0,1.0,1.5,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,0.015,2m,0.5,0.5,3.0,60.0,,,,,,,,10.0,0.05,4m,0.9,0.5,1.5,10.0,64.0,0.05,3m,1.0,0.5,3.0,22.0,,,,,,,,,,,,,,,60.0,0.0475,5m,0.7,0.5,1.5,14.0,0.35000000000000003,6,COMPLETE
11,11,-111.14098780173809,2025-06-21 01:33:10.370389,2025-06-21 01:33:10.633332,0 days 00:00:00.262943,32.0,0.01,1m,0.5,1.0,1.5,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35000000000000003,1,COMPLETE
12,12,-5.884618227657806,2025-06-21 01:33:10.652562,2025-06-21 01:33:10.909700,0 days 00:00:00.257138,28.0,0.0475,4m,0.7,0.8,2.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,1,COMPLETE
13,13,-25.747442028391657,2025-06-21 01:33:10.931234,2025-06-21 01:33:12.025738,0 days 00:00:01.094504,,,,,,,,40.0,0.05,4m,0.7,0.5,2.0,60.0,,,,,,,,,,,,,,,10.0,0.01,5m,0.9,0.8,1.5,18.0,,,,,,,,,,,,,,,,,,,,,,62.0,0.01,1m,0.5,0.5,1.5,62.0,16.0,0.0425,1m,0.9,0.5,1.5,62.0,,,,,,,,,,,,,,,48.0,0.04,5m,1.0,1.0,1.5,26.0,0.25,5,COMPLETE
