,number,value,datetime_start,datetime_complete,duration,params_buffer_capital,params_pairs_to_trade,params_synprice_QQQ_beta_win,params_synprice_QQQ_stop_loss,params_synprice_QQQ_trade_freq,params_synprice_QQQ_z_entry,params_synprice_QQQ_z_exit,params_synprice_QQQ_z_stop_scaler,params_synprice_QQQ_z_win,state
0,0,-0.07914658895629924,2025-06-20 21:04:46.790613,2025-06-20 21:04:47.006680,0 days 00:00:00.216067,0.15000000000000002,3,344,0.05,5m,1.3,0.9,1.1,504,COMPLETE
1,1,-0.2818556032633412,2025-06-20 21:04:47.026351,2025-06-20 21:04:47.221958,0 days 00:00:00.195607,0.45,3,1000,0.025,8m,1.0,0.8,1.9000000000000001,464,COMPLETE
2,2,0.20952842989957707,2025-06-20 21:04:47.243278,2025-06-20 21:04:47.480165,0 days 00:00:00.236887,0.3,2,96,0.05,10m,1.0,0.9,1.9000000000000001,560,COMPLETE
3,3,-6.771822503845873,2025-06-20 21:04:47.506249,2025-06-20 21:04:47.726203,0 days 00:00:00.219954,0.2,7,544,0.05,2m,1.2000000000000002,0.8,1.6,16,COMPLETE
4,4,-0.13695768733451524,2025-06-20 21:04:47.757156,2025-06-20 21:04:47.980328,0 days 00:00:00.223172,0.1,9,792,0.025,3m,1.2000000000000002,0.7,2.0,984,COMPLETE
5,5,-13.153533945576312,2025-06-20 21:04:48.007740,2025-06-20 21:04:48.213885,0 days 00:00:00.206145,0.2,5,792,0.025,9m,0.7,1.2000000000000002,1.8000000000000003,32,COMPLETE
6,6,-0.41396291596579554,2025-06-20 21:04:48.254911,2025-06-20 21:04:48.467610,0 days 00:00:00.212699,0.3,5,240,0.05,3m,0.8,1.1,1.1,920,COMPLETE
7,7,-0.3435686210125881,2025-06-20 21:04:48.488728,2025-06-20 21:04:48.702395,0 days 00:00:00.213667,0.35000000000000003,9,544,0.025,4m,1.3,1.1,1.3,656,COMPLETE
8,8,-72.31256316504648,2025-06-20 21:04:48.734244,2025-06-20 21:04:48.936123,0 days 00:00:00.201879,0.45,2,32,0.05,1m,0.6,1.5,1.3,64,COMPLETE
9,9,-0.03184655078134203,2025-06-20 21:04:48.967365,2025-06-20 21:04:49.177263,0 days 00:00:00.209898,0.1,2,488,0.05,7m,1.4,1.4,1.6,512,COMPLETE
10,10,-0.7325993968093878,2025-06-20 21:04:49.204248,2025-06-20 21:04:49.440014,0 days 00:00:00.235766,0.35000000000000003,1,24,0.05,10m,0.9,0.5,1.8000000000000003,304,COMPLETE
11,11,-100.0,2025-06-20 21:04:49.461259,2025-06-20 21:04:49.692461,0 days 00:00:00.231202,0.05,1,248,0.05,7m,1.5,1.4,1.6,704,COMPLETE
12,12,-0.275889269134173,2025-06-20 21:04:49.729486,2025-06-20 21:04:49.965029,0 days 00:00:00.235543,0.25,4,376,0.05,7m,1.5,1.3,1.7000000000000002,320,COMPLETE
13,13,-100.0,2025-06-20 21:04:49.980414,2025-06-20 21:04:50.208062,0 days 00:00:00.227648,0.05,7,688,0.05,10m,1.1,1.0,1.4000000000000001,720,COMPLETE
14,14,-2.2703223268817423,2025-06-20 21:04:50.223113,2025-06-20 21:04:50.444942,0 days 00:00:00.221829,0.35000000000000003,3,152,0.05,6m,0.5,0.6,2.0,360,COMPLETE
15,15,-0.045485054374736225,2025-06-20 21:04:50.473267,2025-06-20 21:04:50.713905,0 days 00:00:00.240638,0.5,1,424,0.05,7m,1.0,1.5,1.5,616,COMPLETE
16,16,-100.0,2025-06-20 21:04:50.729665,2025-06-20 21:04:50.961528,0 days 00:00:00.231863,0.25,7,680,0.05,10m,1.4,1.3,1.8000000000000003,840,COMPLETE
17,17,-75.4459720821412,2025-06-20 21:04:50.980241,2025-06-20 21:04:51.210004,0 days 00:00:00.229763,0.15000000000000002,2,1008,0.025,1m,0.9,1.0,1.7000000000000002,192,COMPLETE
18,18,-0.39559835832172935,2025-06-20 21:04:51.224899,2025-06-20 21:04:51.459012,0 days 00:00:00.234113,0.3,4,176,0.05,8m,1.1,0.9,1.5,560,COMPLETE
19,19,-0.7360742569331122,2025-06-20 21:04:51.478826,2025-06-20 21:04:51.723512,0 days 00:00:00.244686,0.4,2,480,0.05,6m,0.8,1.2000000000000002,1.9000000000000001,424,COMPLETE
20,20,-0.2628989060821052,2025-06-20 21:04:51.739478,2025-06-20 21:04:51.962986,0 days 00:00:00.223508,0.15000000000000002,6,112,0.025,5m,1.3,0.7,1.7000000000000002,808,COMPLETE
21,21,-0.21621977630201442,2025-06-20 21:04:51.994092,2025-06-20 21:04:52.235882,0 days 00:00:00.241790,0.5,1,384,0.05,7m,1.0,1.5,1.5,664,COMPLETE
22,22,-0.05217869439602713,2025-06-20 21:04:52.266712,2025-06-20 21:04:52.525790,0 days 00:00:00.259078,0.5,2,472,0.05,7m,1.1,1.4,1.4000000000000001,552,COMPLETE
23,23,-0.3020115299649844,2025-06-20 21:04:52.541534,2025-06-20 21:04:52.786065,0 days 00:00:00.244531,0.4,1,624,0.05,7m,0.9,1.5,1.4000000000000001,608,COMPLETE
24,24,-0.8431862334554105,2025-06-20 21:04:52.802007,2025-06-20 21:04:53.058557,0 days 00:00:00.256550,0.2,4,296,0.05,9m,0.8,1.4,1.2000000000000002,760,COMPLETE
25,25,-0.19840502960170864,2025-06-20 21:04:53.082407,2025-06-20 21:04:53.313906,0 days 00:00:00.231499,0.1,3,464,0.05,2m,1.2000000000000002,1.3,1.6,424,COMPLETE
26,26,-0.24726454478777216,2025-06-20 21:04:53.329578,2025-06-20 21:04:53.570019,0 days 00:00:00.240441,0.45,2,832,0.05,4m,1.0,1.1,1.5,600,COMPLETE
27,27,-100.0,2025-06-20 21:04:53.590449,2025-06-20 21:04:53.830468,0 days 00:00:00.240019,0.4,1,424,0.05,10m,1.4,1.2000000000000002,1.9000000000000001,512,COMPLETE
28,28,-1.6506986392313945,2025-06-20 21:04:53.846923,2025-06-20 21:04:54.093289,0 days 00:00:00.246366,0.1,3,600,0.05,7m,1.0,0.9,1.3,256,COMPLETE
29,29,-0.45337035164832196,2025-06-20 21:04:54.118291,2025-06-20 21:04:54.350440,0 days 00:00:00.232149,0.25,10,280,0.05,5m,1.1,1.4,1.7000000000000002,488,COMPLETE
30,30,-1.8924595964105546,2025-06-20 21:04:54.370163,2025-06-20 21:04:54.627331,0 days 00:00:00.257168,0.3,4,320,0.05,7m,0.7,0.8,1.6,624,COMPLETE
31,31,-0.05139896795808176,2025-06-20 21:04:54.641328,2025-06-20 21:04:54.881842,0 days 00:00:00.240514,0.45,2,464,0.05,7m,1.1,1.4,1.4000000000000001,536,COMPLETE
32,32,-0.051756068708258975,2025-06-20 21:04:54.900557,2025-06-20 21:04:55.141332,0 days 00:00:00.240775,0.5,3,416,0.05,7m,1.4,1.5,1.4000000000000001,424,COMPLETE
33,33,-0.48064187319904356,2025-06-20 21:04:55.163039,2025-06-20 21:04:55.401390,0 days 00:00:00.238351,0.45,2,600,0.05,8m,1.2000000000000002,1.3,1.5,544,COMPLETE
34,34,-2.1335842234257645,2025-06-20 21:04:55.433140,2025-06-20 21:04:55.657707,0 days 00:00:00.224567,0.5,1,936,0.05,7m,0.9,1.4,1.3,472,COMPLETE
35,35,-0.4826217524838669,2025-06-20 21:04:55.680365,2025-06-20 21:04:55.910925,0 days 00:00:00.230560,0.45,2,536,0.025,2m,1.2000000000000002,1.5,1.2000000000000002,584,COMPLETE
36,36,-1.58960337276605,2025-06-20 21:04:55.926009,2025-06-20 21:04:56.157842,0 days 00:00:00.231833,0.4,3,352,0.05,3m,1.0,1.0,1.9000000000000001,368,COMPLETE
37,37,-0.5494861232700605,2025-06-20 21:04:56.183920,2025-06-20 21:04:56.410580,0 days 00:00:00.226660,0.2,5,200,0.05,9m,1.1,0.8,2.0,680,COMPLETE
38,38,-100.0,2025-06-20 21:04:56.433876,2025-06-20 21:04:56.673898,0 days 00:00:00.240022,0.35000000000000003,2,728,0.025,10m,1.2000000000000002,1.1,1.2000000000000002,872,COMPLETE
39,39,-0.4245347642708877,2025-06-20 21:04:56.690014,2025-06-20 21:04:56.921942,0 days 00:00:00.231928,0.5,1,64,0.05,4m,1.3,1.2000000000000002,1.8000000000000003,744,COMPLETE
