Variable Name,Type,Description
PERMNO,Float,PERMNO (PERMNO)
GVKEY,Char,Global Company Key (GVKEY)
CUSIP,Char,CUSIP IDENTIFIER - HISTORICAL (CUSIP)
TICKER,Char,EXCHANGE TICKER SYMBOL - HISTORICAL (TICKER)
dpr,Float,Dividend Payout Ratio (dpr)
peg_trailing,Float,Trailing P/E to Growth (PEG) ratio (peg_trailing)
bm,Float,Book/Market (bm)
capei,Float,Shillers Cyclically Adjusted P/E Ratio (capei)
divyield,Float,Dividend Yield (divyield)
evm,Float,Enterprise Value Multiple (evm)
pcf,Float,Price/Cash flow (pcf)
pe_exi,Float,"P/E (Diluted, Excl. EI) (pe_exi)"
pe_inc,Float,"P/E (Diluted, Incl. EI) (pe_inc)"
pe_op_basic,Float,"Price/Operating Earnings (Basic, Excl. EI) (pe_op_basic)"
pe_op_dil,Float,"Price/Operating Earnings (Diluted, Excl. EI) (pe_op_dil)"
ps,Float,Price/Sales (ps)
ptb,Float,Price/Book (ptb)
efftax,Float,Effective Tax Rate (efftax)
gprof,Float,Gross Profit/Total Assets (gprof)
aftret_eq,Float,After-tax Return on Average Common Equity (aftret_eq)
aftret_equity,Float,After-tax Return on Total Stockholders Equity (aftret_equity)
aftret_invcapx,Float,After-tax Return on Invested Capital (aftret_invcapx)
gpm,Float,Gross Profit Margin (gpm)
npm,Float,Net Profit Margin (npm)
opmad,Float,Operating Profit Margin After Depreciation (opmad)
opmbd,Float,Operating Profit Margin Before Depreciation (opmbd)
pretret_earnat,Float,Pre-tax Return on Total Earning Assets (pretret_earnat)
pretret_noa,Float,Pre-tax return on Net Operating Assets (pretret_noa)
ptpm,Float,Pre-tax Profit Margin (ptpm)
roa,Float,Return on Assets (roa)
roce,Float,Return on Capital Employed (roce)
roe,Float,Return on Equity (roe)
capital_ratio,Float,Capitalization Ratio (capital_ratio)
equity_invcap,Float,Common Equity/Invested Capital (equity_invcap)
debt_invcap,Float,Long-term Debt/Invested Capital (debt_invcap)
totdebt_invcap,Float,Total Debt/Invested Capital (totdebt_invcap)
invt_act,Float,Inventory/Current Assets (invt_act)
rect_act,Float,Receivables/Current Assets (rect_act)
fcf_ocf,Float,Free Cash Flow/Operating Cash Flow (fcf_ocf)
ocf_lct,Float,Operating CF/Current Liabilities (ocf_lct)
cash_debt,Float,Cash Flow/Total Debt (cash_debt)
cash_lt,Float,Cash Balance/Total Liabilities (cash_lt)
cfm,Float,Cash Flow Margin (cfm)
short_debt,Float,Short-Term Debt/Total Debt (short_debt)
profit_lct,Float,Profit Before Depreciation/Current Liabilities (profit_lct)
curr_debt,Float,Current Liabilities/Total Liabilities (curr_debt)
debt_ebitda,Float,Total Debt/EBITDA (debt_ebitda)
dltt_be,Float,Long-term Debt/Book Equity (dltt_be)
int_debt,Float,Interest/Average Long-term Debt (int_debt)
int_totdebt,Float,Interest/Average Total Debt (int_totdebt)
lt_debt,Float,Long-term Debt/Total Liabilities (lt_debt)
lt_ppent,Float,Total Liabilities/Total Tangible Assets (lt_ppent)
de_ratio,Float,Total Debt/Equity (de_ratio)
debt_assets,Float,Total Debt/Total Assets (debt_assets)
debt_at,Float,Total Debt/Total Assets (debt_at)
debt_capital,Float,Total Debt/Capital (debt_capital)
intcov,Float,After-tax Interest Coverage (intcov)
intcov_ratio,Float,Interest Coverage Ratio (intcov_ratio)
cash_conversion,Float,Cash Conversion Cycle (Days) (cash_conversion)
cash_ratio,Float,Cash Ratio (cash_ratio)
curr_ratio,Float,Current Ratio (curr_ratio)
quick_ratio,Float,Quick Ratio (Acid Test) (quick_ratio)
at_turn,Float,Asset Turnover (at_turn)
inv_turn,Float,Inventory Turnover (inv_turn)
pay_turn,Float,Payables Turnover (pay_turn)
rect_turn,Float,Receivables Turnover (rect_turn)
sale_equity,Float,Sales/Stockholders Equity (sale_equity)
sale_invcap,Float,Sales/Invested Capital (sale_invcap)
sale_nwc,Float,Sales/Working Capital (sale_nwc)
accrual,Float,Accruals/Average Assets (accrual)
rd_sale,Float,Research and Development/Sales (rd_sale)
adv_sale,Float,Avertising Expenses/Sales (adv_sale)
staff_sale,Float,Labor Expenses/Sales (staff_sale)
