gvkey,tic,cik,conm
001000,AE.2,,A & E PLASTIK PAK INC
001001,AMFD.,0000723576,A & M FOOD SERVICES INC
001002,AAIC.1,0001306124,AAI CORP
001003,ANTQ,0000730052,A.A. IMPORTING CO INC
001004,AIR,0000001750,AAR CORP
001005,ABA.2,,A.B.A. INDUSTRIES INC
001006,1145B,,ABC INDS INC
001007,4135B,0000001882,ABKCO INDUSTRIES INC
001008,ABMC.,,ABM COMPUTER SYSTEMS INC
001009,ABSI.1,0000313368,ABS INDUSTRIES INC
001010,4165A,0000910627,ACF INDUSTRIES INC
001011,ACSE,0000702511,ACS ENTERPRISES INC
001012,6927B,0000002134,ACS INDUSTRIES INC
001013,ADCT.1,0000061478,ADC TELECOMMUNICATIONS INC
001014,3ADDS,0000003141,ADDSCO INDUSTRIES INC
001015,4327B,0000354609,ADI ELECTRONICS INC
001016,AECE,0000317539,AEC INC
001017,AELNA,0000004911,AEL INDUSTRIES  -CL A
001017,3AELNB,0000004911,AEL INDUSTRIES  -CL A
001018,2938B,0000002638,AES TECHNOLOGY SYSTEMS INC
001019,AFAP,0000002668,AFA PROTECTIVE SYSTEMS INC
001020,5548C,0000007668,AFG INDUSTRIES INC
001021,IWKS,0000319126,AFP IMAGING CORP
001022,AGMN.1,0000002801,AGM INDUSTRIES INC
001023,AGS.2,0000002844,AGS COMPUTERS INC
001024,AIAQ,0001749211,A I A INDUSTRIES INC
001025,4225B,0000002880,A I C INTL INC
001026,AIDCA,0000002886,AID INC-DEL CL A
001027,AIM.3,,A I M COS
001028,7547B,0000354173,AIM TELEPHONES INC
001029,AINSE,,A.I.N. LEASING CORP
001030,1410B,,A I T S INC
001031,AJ.2,,A J INDS INC
001032,1412B,0000005340,AKF FOODS INC
001033,3ALDK,0000003392,A L D INC
001034,ALO.2,0000730469,ALPHARMA INC  -CL A
001034,5418B,0000730469,ALPHARMA INC  -CL A
001035,DBR.,,AMCA INTERNATIONAL LTD
001036,UDI.,0000029590,UNITED DOMINION INDUSTRIES
001036,UDI.1,0000029590,UNITED DOMINION INDUSTRIES
001037,AMCM.,0000318580,AM COMMUNICATIONS INC
001038,AEN.2,,AMC ENTERTAINMENT INC -OLD
001038,5294B,,AMC ENTERTAINMENT INC -OLD
001039,AMC.3,0000001857,AMC INVESTORS INC
001040,AMF.2,0000006091,AMF INC
001041,ARCO.1,0000006113,AMI INDUSTRIES INC
001042,AMIS.1,0000355713,AMI SYSTEMS INC
001043,MTI.3,0000002310,MULTIGRAPHICS INC
001044,AMK.3,0000006143,AMK CORP
